School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,CompletionRate150,Admission Rate (%),RetentionRate,SAT Average,x0_Private ForProfit,x0_Private NonProfit,x0_Public
The College of Idaho,54.620000000000005,85872.0,1100.0,45607.0,66.06,48.35,84.31,1153.0,0.0,1.0,0.0
Pacific Lutheran University,69.54,96588.0,2509.0,56830.0,71.25,86.3,79.86999999999999,1193.2840894398946,0.0,1.0,0.0
Southeastern University,100.0,87780.0,5342.0,39276.0,47.89,42.66,66.27,1081.0,0.0,1.0,0.0
Black Hills State University,58.08,85176.0,2243.0,20937.0,39.26,97.14,64.91,1089.0,0.0,0.0,1.0
Bluffton University,59.55,65472.0,675.0,48205.0,55.05,60.51,72.28999999999999,1027.9255496393632,0.0,1.0,0.0
Neumann University,43.580000000000005,84372.0,1840.0,50640.0,50.84,80.34,76.87,991.0,0.0,1.0,0.0
Temple University,55.69,139944.0,26969.0,33226.0,74.79,71.41999999999999,87.17,1319.223505451005,0.0,0.0,1.0
Columbia University in the City of New York,48.78,235920.0,8148.0,79750.0,96.21,6.660000000000001,95.27,1517.0,0.0,1.0,0.0
Mercyhurst University,60.19,89424.0,2369.0,56266.0,70.66,88.02,80.47999999999999,1164.8681338520937,0.0,1.0,0.0
Converse University,95.45,75552.0,737.0,33858.0,51.5,82.44,72.58,1067.0,0.0,1.0,0.0
College of Charleston,65.86,105924.0,9100.0,29545.0,65.68,74.32,79.86,1175.0,0.0,0.0,1.0
CUNY Brooklyn College,37.98,143076.0,14054.0,13802.0,54.49,49.74,82.19,1105.0,0.0,0.0,1.0
Albion College,75.0,87084.0,1497.0,62041.0,67.7,74.44,73.49,1062.0,0.0,1.0,0.0
Reed College,98.3,131136.0,1349.0,75586.0,76.52,42.34,82.99,1355.6016415574795,0.0,1.0,0.0
Indiana University-Northwest,46.04,86052.0,3293.0,13054.0,32.36,81.67999999999999,70.19999999999999,1005.0,0.0,0.0,1.0
California Lutheran University,100.0,124572.0,2800.0,60668.0,70.86,74.39,78.83,1159.0,0.0,1.0,0.0
New Mexico Institute of Mining and Technology,77.53,106104.0,1190.0,22878.0,54.06999999999999,96.58,80.80000000000001,1263.0,0.0,0.0,1.0
Barry University,45.29,105660.0,3249.0,47118.0,36.17,65.3,68.12,1133.0855944195746,0.0,1.0,0.0
Blessing Rieman College of Nursing and Health Sciences,100.0,74904.0,158.0,25311.563425791435,48.69707499856654,66.3078892345582,66.23976865711393,1016.2926116109896,0.0,1.0,0.0
Ottawa University-Online,100.0,87480.0,139.0,26685.959273475553,51.794723018530256,67.5800664153211,65.21522757337374,1072.0329822637257,0.0,1.0,0.0
Warner University,31.78,59532.0,815.0,34297.0,49.44,54.120000000000005,51.92,1074.3731098024211,0.0,1.0,0.0
Fairleigh Dickinson University-Metropolitan Campus,31.49,111924.0,2878.0,51758.0,53.17,88.87,75.47,1261.1503828794125,0.0,1.0,0.0
Savannah College of Art and Design,84.97,115248.0,11398.0,58367.0,72.55,77.92,75.33999999999999,1219.3014480597096,0.0,1.0,0.0
Lakeview College of Nursing,66.67,78996.0,162.0,25766.907670348675,45.71671771357111,65.43086665143746,61.19380510660942,1088.529077042288,0.0,1.0,0.0
University of Utah,97.39,129840.0,23645.0,20303.0,67.10000000000001,79.4,88.66000000000001,1236.0,0.0,0.0,1.0
Manhattanville College,35.67,103392.0,1373.0,51214.0,63.88,89.81,79.7,1159.0317510607297,0.0,1.0,0.0
Methodist University,66.14999999999999,86424.0,1419.0,55751.0,39.16,75.88000000000001,58.02,1050.0,0.0,1.0,0.0
Olivet Nazarene University,36.97,85932.0,2757.0,48119.0,65.08,66.57,75.14,1101.0,0.0,1.0,0.0
Averett University-Non-Traditional Programs,100.0,96504.0,196.0,19078.0,70.76673750316787,9.09,75.0,1046.0878196513404,0.0,1.0,0.0
Eastern University,27.23,74016.0,1823.0,48828.0,57.56,64.25,82.39999999999999,1104.0,0.0,1.0,0.0
Northwood University,100.0,86028.0,2218.0,41997.0,58.10999999999999,76.8,78.93,1093.0,0.0,1.0,0.0
Vassar College,84.1,141456.0,2421.0,75203.0,87.61,24.54,93.32,1456.0,0.0,1.0,0.0
Alice Lloyd College,80.56,59748.0,569.0,25490.0,35.33,21.15,65.33,994.0,0.0,1.0,0.0
University of Virginia's College at Wise,100.0,94080.0,1143.0,22795.0,51.8,82.57,70.82000000000001,1073.0,0.0,0.0,1.0
Denver College of Nursing,16.13,74892.0,1022.0,41213.31396747934,56.41852411221444,85.26586772402081,67.74550498040352,1004.6969347218301,1.0,0.0,0.0
CEM College-San Juan,2.33,24000.0,277.0,14223.0,52.8,91.28052765912571,25.0,1007.9067492875114,1.0,0.0,0.0
St Bonaventure University,65.83,78900.0,1803.0,50646.0,73.79,76.31,85.98,1151.0,0.0,1.0,0.0
University of Washington-Tacoma Campus,78.29,126048.0,4552.0,21705.0,60.34,86.05000000000001,80.07,1068.0,0.0,0.0,1.0
Paier College,77.32613349394323,59640.0,122.0,22945.0,61.53999999999999,94.49,87.5,992.3330533051471,1.0,0.0,0.0
Massachusetts Institute of Technology,98.86,235680.0,4360.0,73160.0,95.58,7.26,97.64,1550.0,0.0,1.0,0.0
Soka University of America,69.77,148932.0,392.0,50968.0,87.0,51.99,91.67,1307.0,0.0,1.0,0.0
University of the Pacific,52.53,130464.0,3493.0,64784.0,70.1,70.75,86.88,1221.0,0.0,1.0,0.0
Williams College,85.37,158268.0,1917.0,75520.0,95.97,15.12,90.48,1425.661138709209,0.0,1.0,0.0
Claflin University,59.42,85644.0,1961.0,33777.0,49.61,65.13,70.15,942.0,0.0,1.0,0.0
Fisk University,70.73,69792.0,879.0,37482.0,50.51,66.46,80.25,1122.0,0.0,1.0,0.0
Meredith College,99.37,91428.0,1493.0,50390.0,63.690000000000005,71.61999999999999,85.6,1111.0,0.0,1.0,0.0
Chamberlain University-Ohio,12.04,89988.0,741.0,35261.0,50.0,67.74,63.63999999999999,1089.3920388315319,1.0,0.0,0.0
Western Oregon University,88.89,83148.0,3994.0,22810.0,45.08,79.14,70.57,1055.0,0.0,0.0,1.0
Bowie State University,49.67,106212.0,5286.0,22891.0,43.1,81.21000000000001,76.78,936.0,0.0,0.0,1.0
Oberlin College,91.86,108900.0,2647.0,77124.0,86.2,35.36,83.19,1348.0,0.0,1.0,0.0
McNeese State University,100.0,82908.0,5825.0,19489.0,43.5,63.3,71.63000000000001,1136.0,0.0,0.0,1.0
Morris College,68.63,63504.0,394.0,27066.0,26.340000000000003,68.56686533632413,36.0,992.9222831845356,0.0,1.0,0.0
California State University-Los Angeles,44.87,122376.0,22820.0,15307.0,52.400000000000006,76.48,82.53,964.0,0.0,0.0,1.0
Campbellsville University,39.4,72180.0,2723.0,38502.0,36.1,77.64,64.45,1062.5890866567895,0.0,1.0,0.0
Thiel College,67.44,82776.0,740.0,48566.0,48.93,83.50999999999999,75.2,1031.0,0.0,1.0,0.0
Embry-Riddle Aeronautical University-Prescott,72.2,111072.0,2959.0,54536.0,59.16,66.85,82.17999999999999,1238.0,0.0,1.0,0.0
Jarvis Christian University,46.59,73812.0,719.0,25082.0,17.24,64.6841216265251,53.41,1048.7322757039756,0.0,1.0,0.0
South Dakota State University,80.25,103836.0,8908.0,22230.0,58.85,88.94,81.0,1150.0,0.0,0.0,1.0
South Dakota School of Mines and Technology,89.33,115656.0,2043.0,25078.0,49.92,85.55,78.16,1266.0,0.0,0.0,1.0
Clark Atlanta University,62.77,96120.0,3092.0,39194.0,42.35,59.05,63.470000000000006,974.0,0.0,1.0,0.0
South University-Savannah Online,6.74,108530.4624215813,3304.0,27732.0,3.47,86.8573960951109,26.47,1099.0883578053677,1.0,0.0,0.0
Concordia University-Saint Paul,27.81,77688.0,3222.0,32686.0,47.52,68.60000000000001,68.10000000000001,975.2976055884473,0.0,1.0,0.0
Strayer University-Florida,11.76,82632.0,1765.0,28284.0,66.67,88.88436183085496,66.67,1049.4386709546657,1.0,0.0,0.0
The Art Institute of Austin,10.0,54564.0,228.0,33114.0,24.59,49.047262546699336,43.33,1060.6432262447647,1.0,0.0,0.0
Marian University,90.48,69444.0,1284.0,38372.0,48.39,67.67,71.21,1028.0,0.0,1.0,0.0
University of Detroit Mercy,100.0,115800.0,2424.0,38440.0,72.92999999999999,79.5,86.19,1165.0,0.0,1.0,0.0
Bryan College of Health Sciences,56.00000000000001,95460.0,602.0,30615.0,75.56,57.77,89.71000000000001,1167.8694058902483,0.0,1.0,0.0
University of Phoenix-Arizona,3.97,90948.0,66294.0,18562.0,11.52,69.7495309489416,41.58,1125.1847649420804,1.0,0.0,0.0
Coastal Carolina University,100.0,93552.0,9085.0,24313.0,45.99,70.45,73.45,1108.0,0.0,0.0,1.0
Texas Christian University,99.86,146508.0,9689.0,68072.0,82.03,48.03,91.68,1269.0,0.0,1.0,0.0
Rhode Island College,100.0,117660.0,5892.0,17761.0,45.9,81.27,75.63,988.0,0.0,0.0,1.0
University of Maryland Baltimore,41.33,139488.0,863.0,34386.28500985112,46.54969403318429,48.956364798331904,64.67168188708199,1376.8203115725732,0.0,0.0,1.0
Upper Iowa University,100.0,70488.0,2934.0,45237.0,27.06,65.3,74.02,1035.0,0.0,1.0,0.0
Thomas Jefferson University,38.65,112164.0,3740.0,60290.0,69.65,69.84,83.66,1179.0,0.0,1.0,0.0
Newschool of Architecture and Design,16.49,88476.0,359.0,50284.0,40.0,96.25,81.25,1080.7528613434345,1.0,0.0,0.0
College of Coastal Georgia,82.39,83976.0,2976.0,18200.0,23.26,95.94,63.78,1006.0,0.0,0.0,1.0
Belhaven University,15.06,57408.0,2003.0,35975.0,46.67,49.54,67.82000000000001,1083.0,0.0,1.0,0.0
Barclay College,48.65,59280.0,166.0,34250.0,41.46,47.98,79.31,1069.7509556448397,0.0,1.0,0.0
SUNY Oneonta,62.55,82980.0,6178.0,25628.0,75.61,62.95,83.17999999999999,1034.0,0.0,0.0,1.0
School of Visual Arts,18.95,49128.0,3192.0,65272.0,71.53,71.53,77.45,1205.0,1.0,0.0,0.0
Maryland Institute College of Art,100.0,106980.0,1327.0,66413.0,73.39,89.83,65.99000000000001,1231.07742677083,0.0,1.0,0.0
Ohio State University-Main Campus,65.88000000000001,152676.0,45862.0,27202.0,87.03,68.49,93.81,1337.0,0.0,0.0,1.0
Western New Mexico University,42.86,81024.0,1534.0,17772.0,27.99,80.11251241002267,64.14,1015.0819294063137,0.0,0.0,1.0
Huntingdon College,75.94999999999999,82632.0,917.0,37483.0,41.85,54.39000000000001,69.92,1101.0,0.0,1.0,0.0
Colorado State University Pueblo,52.25,85860.0,3275.0,21950.0,36.94,94.31,68.26,1022.0,0.0,0.0,1.0
LeTourneau University,34.23,74208.0,1699.0,44629.0,56.620000000000005,56.11000000000001,81.01,1227.0,0.0,1.0,0.0
Linfield University-Online and Continuing Education,100.0,119556.0,163.0,26114.968450316162,47.08823039444207,67.4344305977451,64.29870751844304,1225.3422931515809,0.0,1.0,0.0
Notre Dame College,94.34,60852.0,1217.0,43425.0,42.86,87.42999999999999,66.67,1052.9879407854469,0.0,1.0,0.0
Sierra Nevada University,24.44,55860.0,272.0,50040.0,43.59,46.31,60.71,1036.0,0.0,1.0,0.0
