School Name,Mean Earnings (10 Yrs after Entry)
Institute of American Indian and Alaska Native Culture and Arts Development,18000.0
North Carolina Wesleyan College,41900.0
Everglades University,49600.0
Ozark Christian College,33900.0
Drake University,68700.0
The Evergreen State College,36900.0
Muhlenberg College,65300.0
Fisher College,39600.0
Lees-McRae College,34400.0
King's College,57500.0
Strayer University-Mississippi,53500.0
SUNY at Fredonia,44700.0
Walsh College,62700.0
University of Minnesota-Twin Cities,61200.0
Ottawa University-Milwaukee,48100.0
George Washington University,82400.0
Trevecca Nazarene University,49000.0
Maryville University of Saint Louis,51100.0
Chapman University,56600.0
Washington University in St Louis,87900.0
Martin Luther College,37400.0
Eckerd College,46700.0
University of Wisconsin-Oshkosh,45600.0
Jacksonville State University,38100.0
Angelo State University,46300.0
St. John's University-New York,62400.0
Ferris State University,49600.0
Wilmington College,41900.0
Michigan State University,63200.0
Stevenson University,54600.0
Spring Arbor University,45000.0
Platt College-Aurora,31900.0
CUNY Lehman College,47500.0
Monmouth University,55900.0
Indiana State University,42600.0
University of Saint Mary,42500.0
University of Providence,38600.0
Freed-Hardeman University,41100.0
Rider University,54100.0
University of Hawaii at Manoa,51800.0
Grand Valley State University,47200.0
Cairn University-Langhorne,38700.0
The Art Institute of Houston,39100.0
Keystone College,36800.0
Missouri Southern State University,38100.0
Westminster College,49800.0
Fairfield University,80100.0
CUNY Bernard M Baruch College,63600.0
CUNY Medgar Evers College,39400.0
University of South Dakota,49500.0
Erskine College,41500.0
Utah State University,49600.0
Louisiana State University Health Sciences Center-Shreveport,121000.0
Strayer University-Georgia,53500.0
Florida Memorial University,29600.0
University of Southern Indiana,40200.0
John Brown University,55400.0
The University of Texas at San Antonio,49600.0
Mount St. Mary's University,56600.0
American InterContinental University,45200.0
Colby College,71000.0
Southwest Minnesota State University,41400.0
Rice University,91600.0
Georgetown University,125200.0
Yeshiva of Machzikai Hadas,
University of La Verne,52700.0
Hampshire College,39900.0
Careers Unlimited,
Maryville College,44000.0
Keene State College,45800.0
Saint Edward's University,55700.0
University of the Virgin Islands,35500.0
Lewis University,53600.0
Hallmark University,37500.0
University of Wisconsin-Whitewater,45800.0
Virginia Union University,34200.0
Allen University,26400.0
Lebanon Valley College,48500.0
Saint John Fisher College,52500.0
National Louis University,50800.0
Saint Martin's University,51600.0
University of Nebraska Medical Center,108500.0
Ithaca College,57600.0
University of Redlands,57700.0
Strayer University-District of Columbia,53500.0
Schreiner University,44300.0
Universidad Politecnica de Puerto Rico,36300.0
McKendree University,50200.0
University of Central Florida,51200.0
Shorter University,50100.0
Geneva College,43300.0
California College of the Arts,48000.0
Champlain College,54400.0
Bethune-Cookman University,32300.0
University of Hawaii at Hilo,41800.0
Lake Forest College,55600.0
University of Houston-Clear Lake,52900.0
Oak Hills Christian College,31700.0
University of Baltimore,63400.0
University of Silicon Valley,60400.0
University of South Florida,48500.0
Wright State University-Main Campus,46100.0
Monmouth College,46500.0
The University of the South,51700.0
Stevens Institute of Technology,91900.0
Alabama A & M University,35500.0
Emory & Henry College,45000.0
Albertus Magnus College,56000.0
Ursinus College,61800.0
Chatham University,43400.0
Winona State University,48600.0
Texas Tech University Health Sciences Center,100600.0
Strayer University-Global Region,53500.0
Lincoln University,34600.0
University of Wisconsin-Stout,48700.0
Gods Bible School and College,24800.0
Thomas More University,58900.0
Bethany College,44200.0
Oklahoma Panhandle State University,40800.0
Stetson University,51800.0
Southwest Baptist University,37400.0
Beloit College,47700.0
Texas Southern University,37600.0
University of North Florida,49200.0
Coppin State University,41800.0
SUNY College of Environmental Science and Forestry,49800.0
University of Pennsylvania,131600.0
Miami University-Oxford,55400.0
The University of West Florida,43400.0
Strayer University-Tennessee,53500.0
SUNY College at Old Westbury,47500.0
New York University,78600.0
Albizu University-San Juan,34000.0
SUNY at Albany,57600.0
Scripps College,61800.0
University of Connecticut-Waterbury Campus,66000.0
University of Advancing Technology,57700.0
Framingham State University,49000.0
Bob Jones University,
University of Valley Forge,34300.0
Life University,47200.0
Academy College,37900.0
Clemson University,58900.0
University of Cincinnati-Main Campus,49700.0
William Jessup University,45100.0
Lander University,38100.0
Malone University,48100.0
University of North Carolina at Pembroke,36400.0
Salem State University,47100.0
Oglethorpe University,49400.0
Blue Mountain College,29200.0
Utica University,48600.0
Seattle University,63200.0
New Mexico Highlands University,37800.0
St. Thomas Aquinas College,50500.0
Minot State University,46900.0
California University of Pennsylvania,44800.0
Hope College,50700.0
Bethel University,52600.0
SUNY College at Plattsburgh,46200.0
Point University,34700.0
Hollins University,37900.0
Midland University,44400.0
Massachusetts Maritime Academy,96000.0
Nichols College,53500.0
University of Maryland Global Campus,55900.0
Calvary University,39200.0
Clarkson College,52900.0
Calumet College of Saint Joseph,47800.0
Millsaps College,54500.0
Texas State University,51100.0
Parker University,62600.0
The North Coast College,30300.0
Louisiana State University and Agricultural & Mechanical College,60100.0
Wake Forest University,79600.0
Yeshiva of Nitra Rabbinical College,32200.0
University of Pikeville,39000.0
University of West Georgia,41700.0
Hamilton College,74300.0
Alabama State University,30600.0
Harding University,47000.0
University of Florida-Online,65700.0
Harrisburg University of Science and Technology,
Saint Augustine's University,30000.0
Mid-America Christian University,44700.0
Hobe Sound Bible College,
University of Arkansas-Fort Smith,35000.0
University of Michigan-Ann Arbor,79000.0
Johnson C Smith University,31400.0
CUNY John Jay College of Criminal Justice,50000.0
Huston-Tillotson University,34200.0
Siena Heights University,45300.0
Northern Michigan University,39800.0
Ave Maria University,33700.0
Mercer University,58200.0
Saint Mary's College of California,63600.0
Roseman University of Health Sciences,
University of Wisconsin-Milwaukee,48200.0
Arizona Christian University,34900.0
Wilmington University,46600.0
Texas Woman's University,49100.0
Columbus State University,38800.0
Juniata College,56800.0
Chicago State University,38200.0
Saint Anselm College,63200.0
Whittier College,50900.0
Marshall University,41700.0
Chaminade University of Honolulu,41000.0
Pomona College,77300.0
Bellarmine University,50600.0
Northeastern Illinois University,41900.0
Southern Nazarene University,54000.0
The New School,55200.0
Lipscomb University,51500.0
University of Alaska Fairbanks,45100.0
Martin University,28600.0
University of Houston,60600.0
University of Tulsa,60500.0
Ohio Northern University,72600.0
West Coast University-Orange County,67700.0
University of West Alabama,40400.0
University of Missouri-Columbia,56600.0
University of Illinois Chicago,61300.0
University of Holy Cross,40700.0
Loras College,50200.0
Conservatory of Music of Puerto Rico,22100.0
Wells College,39200.0
Williams Baptist University,36400.0
The University of Tennessee-Chattanooga,42600.0
Medical University of South Carolina,111500.0
Tiffin University,47900.0
Escuela de Artes Plasticas y Diseno de Puerto Rico,20600.0
The Baptist College of Florida,36200.0
Saint Peter's University,50900.0
Cornell College,45400.0
Strayer University-Arkansas,53500.0
Coker University,37100.0
Stephen F Austin State University,46400.0
Lake Erie College,40600.0
Wagner College,64700.0
DeVry University-Illinois,50300.0
Strayer University-North Carolina,53500.0
University of the Potomac-Washington DC Campus,54600.0
Austin Peay State University,38800.0
University of Puerto Rico-Rio Piedras,
University of Florida,65700.0
University of Scranton,62300.0
CUNY Queens College,52900.0
Concordia University-Wisconsin,47300.0
Delta State University,37600.0
University of New Haven,54600.0
Ohio University-Main Campus,45800.0
Manhattan College,70800.0
Wofford College,59800.0
University of Alabama at Birmingham,48400.0
Wheaton College,60500.0
Herzing University-Madison,41600.0
Viterbo University,47400.0
Bemidji State University,44000.0
McPherson College,43500.0
Saint Leo University,50500.0
Anderson University,41300.0
University of Connecticut-Avery Point,66000.0
Menlo College,59700.0
Indiana Wesleyan University-Marion,56200.0
Tennessee Technological University,46700.0
Cleveland University-Kansas City,53600.0
Purdue University Fort Wayne,39800.0
Inter American University of Puerto Rico-Metro,23500.0
San Francisco State University,54700.0
Ripon College,51300.0
Hampton University,50100.0
University of Alaska Anchorage,51200.0
West Virginia State University,33800.0
University of St Thomas,59600.0
Hussian College-Philadelphia,36800.0
Chamberlain University-Texas,60400.0
Pacific University,51400.0
Middle Tennessee State University,44400.0
Arizona State University Digital Immersion,55500.0
Illinois Wesleyan University,67300.0
Transylvania University,50100.0
Florida Gulf Coast University,45800.0
Chowan University,36200.0
University of Pittsburgh-Johnstown,61200.0
Ferrum College,41100.0
California State University-Bakersfield,50100.0
Talmudical Seminary of Bobov,
Roanoke College,52000.0
Ottawa University-Kansas City,48100.0
Blackburn College,41700.0
Edinboro University of Pennsylvania,38100.0
Franklin Pierce University,45000.0
University of the Potomac-VA Campus,54600.0
Gonzaga University,63800.0
Yeshiva University,78800.0
Paul Smiths College of Arts and Science,38400.0
Simpson University,39900.0
Appalachian State University,43600.0
Longwood University,45300.0
California State University-Northridge,49700.0
Eastern Michigan University,43900.0
University of Maine at Machias,29400.0
Dominican University,49900.0
King University,50300.0
The Art Institute of Atlanta,36000.0
University of Colorado Colorado Springs,49300.0
Oklahoma City University,51100.0
The Catholic University of America,60500.0
East Texas Baptist University,43600.0
University of Arkansas for Medical Sciences,69000.0
Nebraska Methodist College of Nursing & Allied Health,50600.0
Brandeis University,69000.0
Saint Mary's College,51300.0
Langston University,31100.0
Universidad Ana G. Mendez-Carolina Campus,22700.0
Ohio State University-Lima Campus,53600.0
Missouri Western State University,38200.0
Boise State University,43100.0
Fresno Pacific University,45600.0
Albany College of Pharmacy and Health Sciences,114200.0
Indiana University-Kokomo,40500.0
Carnegie Mellon University,103000.0
University of New Mexico-Main Campus,43900.0
University of San Francisco,74000.0
Agnes Scott College,46300.0
Long Island University,58400.0
Inter American University of Puerto Rico-Guayama,23500.0
Knox College,43500.0
State University of New York at New Paltz,48700.0
Davidson College,71100.0
Goshen College,42400.0
Beth Medrash Govoha,43700.0
Emporia State University,40300.0
Northeastern State University,41000.0
University of St Francis,56500.0
Duquesne University,68200.0
Judson University,47200.0
Goddard College,39700.0
Texas A & M University-Kingsville,49300.0
Cazenovia College,38800.0
Savannah State University,35000.0
University of Washington-Bothell Campus,69600.0
Concordia University Ann Arbor,40600.0
University of Puerto Rico-Mayaguez,
Adrian College,42800.0
Columbia College,43000.0
Columbia Southern University,
Walsh University,48300.0
DeVry University-New Jersey,50300.0
Purdue University-Main Campus,62200.0
University of New England,51000.0
Eastern Washington University,46700.0
Rosemont College,46700.0
Southeastern Louisiana University,42800.0
North Park University,45600.0
Liberty University,41400.0
Sacred Heart University,61800.0
Norwich University,57100.0
Cheyney University of Pennsylvania,31600.0
Kalamazoo College,54400.0
DeVry University-California,50300.0
Saint Johns University,67100.0
Chamberlain University-Missouri,60400.0
Slippery Rock University of Pennsylvania,44800.0
Oklahoma Baptist University,45000.0
University of Maine at Farmington,37500.0
Midwestern State University,47000.0
Susquehanna University,60900.0
California State University Maritime Academy,87800.0
Lesley University,40500.0
Wellesley College,71800.0
Creighton University,70100.0
Johnson University,31700.0
Barnes-Jewish College Goldfarb School of Nursing,59500.0
Washington State University,56600.0
Rocky Mountain College,47100.0
Lamar University,46000.0
Portland State University,50800.0
Milwaukee School of Engineering,71100.0
University of Central Arkansas,42500.0
Universidad del Sagrado Corazon,23400.0
Towson University,55100.0
Point Park University,42400.0
Peru State College,39600.0
SUNY Brockport,45500.0
Los Angeles Pacific University,55900.0
DigiPen Institute of Technology,82400.0
University of California-Davis,68100.0
St Lawrence University,60100.0
Morehouse College,49000.0
Bryan College-Dayton,44500.0
Worcester Polytechnic Institute,84600.0
Welch College,31000.0
Union College,47700.0
San Jose State University,63800.0
Strayer University-Texas,53500.0
Heidelberg University,45700.0
Florida Institute of Technology-Online,61200.0
Babson College,113300.0
University of South Alabama,46800.0
Oakwood University,37400.0
Central Baptist College,43000.0
Universidad Ana G. Mendez-Cupey Campus,22700.0
Daemen University,48200.0
University of Alabama in Huntsville,52000.0
Corban University,40200.0
Mississippi State University,47400.0
Wichita State University,45400.0
University of Hartford,51700.0
Southern Adventist University,46300.0
Saint Ambrose University,50500.0
Westfield State University,48900.0
Lasell University,45700.0
University of Oklahoma-Health Sciences Center,61900.0
Lindenwood University,47000.0
American University of Puerto Rico,24200.0
Capitol Technology University,68100.0
Stanford University,141300.0
University of Kansas,59300.0
Eastern Mennonite University,44700.0
Wilson College,34000.0
St. Francis College,50300.0
Lane College,27500.0
West Coast University-Ontario,67700.0
SUNY Downstate Health Sciences University,169600.0
Capella University,72600.0
Miami University-Hamilton,55400.0
SUNY College at Potsdam,41300.0
Granite State College,39300.0
Mount Mary University,43000.0
Ohio Wesleyan University,51600.0
Sterling College,40500.0
University of Maryland-College Park,70800.0
Southern Oregon University,43400.0
Stratford University,39900.0
CUNY Graduate School and University Center,61600.0
Delaware Valley University,44700.0
Winston-Salem State University,37200.0
North Greenville University,36200.0
The College of Westchester,42500.0
Wesleyan University,63400.0
University of the Sciences,92400.0
DeVry University-Georgia,50300.0
South Carolina State University,32500.0
Worcester State University,52400.0
DeVry University-Ohio,50300.0
The University of Texas at Dallas,61400.0
Spelman College,50700.0
Yeshivath Viznitz,19600.0
Laguna College of Art and Design,41400.0
Atlantic University College,25600.0
Stevens-The Institute of Business & Arts,29400.0
LaGrange College,45700.0
California State University-Fullerton,51800.0
Indiana University-South Bend,38100.0
College of Our Lady of the Elms,49600.0
La Roche University,42800.0
Avila University,49700.0
Strayer University-Virginia,53500.0
University of Southern California,88800.0
Pepperdine University,77600.0
Roosevelt University,47700.0
Central Washington University,50100.0
Nebraska Wesleyan University,52500.0
University of Arkansas at Little Rock,39500.0
DeVry University-North Carolina,50300.0
Simpson College,51200.0
University of New Hampshire-Main Campus,57700.0
California Institute of the Arts,50600.0
Louisiana College,48300.0
School of the Art Institute of Chicago,40800.0
Fairleigh Dickinson University-Florham Campus,54400.0
Pitzer College,51500.0
Rose-Hulman Institute of Technology,88500.0
Montana State University-Northern,40400.0
Loma Linda University,93600.0
Lawrence University,48700.0
Our Lady of the Lake University,42500.0
George Mason University,63900.0
University of Colorado Boulder,59700.0
Palmer College of Chiropractic,53600.0
Tennessee State University,39800.0
Northeastern University,74200.0
Sarah Lawrence College,48000.0
Alderson Broaddus University,47000.0
Mansfield University of Pennsylvania,41300.0
Drury University,36200.0
Marymount Manhattan College,45500.0
Suffolk University,59900.0
University of Houston-Downtown,49300.0
Le Moyne-Owen College,30200.0
Belmont University,51500.0
Universidad Adventista de las Antillas,27300.0
McDaniel College,54000.0
Saint Mary-of-the-Woods College,31900.0
Rabbinical College of America,37500.0
Nazarene Bible College,34400.0
Rhodes College,64800.0
Kettering University,78500.0
Christopher Newport University,52000.0
The University of Texas Rio Grande Valley,44200.0
Central Christian College of the Bible,30600.0
Johnson & Wales University-Online,42200.0
Wheeling University,49600.0
Madonna University,44400.0
DeVry College of New York,50300.0
Trinity College of Florida,33700.0
Franklin College,46300.0
Fayetteville State University,34600.0
Shippensburg University of Pennsylvania,48200.0
South University-Austin,40200.0
The University of Texas at Arlington,54000.0
Clark University,54700.0
Alfred University,47300.0
Ashford University,47600.0
University of Northwestern-St Paul,43400.0
Valley City State University,41700.0
Tabor College,45500.0
Wilkes University,58600.0
Southern California Institute of Architecture,44200.0
Mississippi University for Women,38900.0
Auburn University,56300.0
Union Institute & University,55000.0
Embry-Riddle Aeronautical University-Daytona Beach,70300.0
DeVry University-Arizona,50300.0
The College of New Jersey,64900.0
University of California-Santa Cruz,53800.0
Claremont McKenna College,93200.0
Valparaiso University,54400.0
Stony Brook University,62600.0
University of Wisconsin-Superior,39800.0
Warner Pacific University,45200.0
The University of Texas at Tyler,50500.0
Berry College,43900.0
College of Biblical Studies-Houston,42800.0
University of Wisconsin-Stevens Point,43600.0
Albizu University-Miami,34000.0
Indiana Institute of Technology,49400.0
Cleveland Institute of Music,45200.0
Walden University,62500.0
Immaculata University,54700.0
University of Phoenix-Texas,54900.0
Carroll College,49200.0
Elizabethtown College,55000.0
Bluefield University,46000.0
Kean University,48400.0
Newman University,47900.0
University of North Carolina at Asheville,38800.0
Clayton  State University,42300.0
Holy Names University,57600.0
United States Sports Academy,
St. John's College,41400.0
University of Nevada-Las Vegas,49600.0
Regis College,56800.0
University of Michigan-Dearborn,56200.0
Northern Illinois University,49800.0
Kenyon College,54500.0
Henderson State University,40400.0
University of North Alabama,42800.0
University of Central Missouri,42600.0
University of North Texas at Dallas,49300.0
Princeton University,116300.0
Citadel Military College of South Carolina,59600.0
Mount Marty University,39400.0
San Diego State University,55900.0
Alaska Pacific University,45300.0
Concordia College at Moorhead,49000.0
Columbia College,36200.0
University of Georgia,59100.0
William Jewell College,51300.0
Case Western Reserve University,89300.0
West Virginia Wesleyan College,48800.0
Maharishi International University,30400.0
Canisius College,51100.0
Berea College,36300.0
Concordia University-Nebraska,44100.0
Crown College,40100.0
New College of Florida,
Norfolk State University,38800.0
Humphreys University-Stockton and Modesto Campuses,33200.0
Illinois State University,51600.0
