School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),RetentionRate_4yr,Female_Majority,SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Percent of Students Earning >$25K (6 Yrs after Entry),Percent of Students Earning >$25K (10 Yrs after Entry),LowIncRatio_10yr,HighIncRatio_10yr,LowIncRatio_6yr,HighIncRatio_6yr,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry)
Troy University,AL,Public,53.75,81420.0,12294.0,21251.0,50.17,92.43,77.07000000000001,True,1094.0,540.0,565.0,,60.1,6939.999999999999,0.2541890353017732,0.0490483162518301,0.2968927932324711,0.0570196843988937,34300.0,41100.0
Tuskegee University,AL,Private NonProfit,87.18,86688.0,2280.0,40750.0,51.89,61.13,77.03,True,1016.0,520.0,525.0,,55.7,6870.0,0.1947368421052631,0.0798245614035087,0.1969298245614035,0.0679824561403508,34500.0,42200.0
United States Sports Academy,AL,Private NonProfit,45.45,68940.0,130.0,,,,,False,,,,,71.2,,0.2846153846153846,,0.2461538461538461,,35700.0,
University of Alaska Anchorage,AK,Public,51.81,112500.0,8257.0,18946.0,30.12,76.83,68.19,True,,,,,67.7,7350.0,0.1481167494247305,0.0725445076904444,0.2223567881797263,0.0839287876952888,41500.0,51200.0
University of Alaska Fairbanks,AK,Public,61.31,115896.0,4259.0,19135.0,38.7,67.01,78.16,True,1138.0,630.0,640.0,570.0,59.5,6810.000000000001,0.1169288565390936,0.0509509274477576,0.1824371918290678,0.0673867104954214,36500.0,45100.0
Alaska Pacific University,AK,Private NonProfit,48.51,76080.0,298.0,34350.0,55.56,90.65,55.56,True,,,,520.0,67.10000000000001,7189.999999999999,0.2046979865771812,0.1308724832214765,0.1677852348993288,0.0939597315436241,37500.0,45300.0
Arizona State University Campus Immersion,AZ,Public,74.26,135000.0,62633.0,27056.0,66.01,88.37,86.2,False,1207.0,670.0,650.0,,72.8,8010.000000000001,0.0903038334424345,0.0597767949802819,0.1151788993022847,0.0723260900803091,42200.0,55500.0
University of Arizona,AZ,Public,77.84,123660.0,34659.0,27461.0,64.89,85.13,85.47,True,1220.0,690.0,660.0,,69.3,8000.0,0.0696500187541475,0.0528289910268617,0.0827202169710609,0.060561470325168,41800.0,56000.0
Embry-Riddle Aeronautical University-Prescott,AZ,Private NonProfit,72.2,111072.0,2959.0,54536.0,59.16,66.85,82.17999999999999,False,1238.0,670.0,650.0,,78.7,8840.0,0.3068604258195336,0.2936802973977695,0.4123014531936465,0.2639405204460966,51400.0,70300.0
Grand Canyon University,AZ,Private ForProfit,8.219999999999999,82440.0,62424.0,31376.0,46.57,80.69,73.55000000000001,True,,,,,59.6,7760.000000000001,0.0342176086120722,0.0131039343842112,0.1449602716903755,0.0381744200948353,36000.0,58500.0
