School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),RetentionRate_4yr,Female_Majority,SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Percent of Students Earning >$25K (6 Yrs after Entry),Percent of Students Earning >$25K (10 Yrs after Entry),LowIncRatio_10yr,HighIncRatio_10yr,LowIncRatio_6yr,HighIncRatio_6yr,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry)
Troy University,AL,Public,53.75,81420.0,12294.0,21251.0,50.17,92.43,77.07000000000001,True,1094.0,540.0,565.0,,60.1,693999.9999999999,0.2541890353017732,0.04904831625183016,0.29689279323247114,0.057019684398893766,34300.0,41100.0
Tuskegee University,AL,Private NonProfit,87.18,86688.0,2280.0,40750.0,51.89,61.13,77.03,True,1016.0,520.0,525.0,,55.7,687000.0,0.19473684210526315,0.07982456140350877,0.1969298245614035,0.06798245614035088,34500.0,42200.0
United States Sports Academy,AL,Private NonProfit,45.45,68940.0,130.0,,,,,False,,,,,71.2,,0.2846153846153846,,0.24615384615384617,,35700.0,
University of Alaska Anchorage,AK,Public,51.81,112500.0,8257.0,18946.0,30.12,76.83,68.19,True,,,,,67.7,735000.0,0.14811674942473052,0.07254450769044447,0.2223567881797263,0.08392878769528885,41500.0,51200.0
Alaska Bible College,AK,Private NonProfit,,,36.0,25250.0,62.5,,66.67,False,,,,,,,,,,,,
University of Alaska Fairbanks,AK,Public,61.31,115896.0,4259.0,19135.0,38.7,67.01,78.16,True,1138.0,630.0,640.0,570.0,59.5,681000.0000000001,0.11692885653909368,0.05095092744775769,0.18243719182906787,0.06738671049542146,36500.0,45100.0
Alaska Pacific University,AK,Private NonProfit,48.51,76080.0,298.0,34350.0,55.56,90.65,55.56,True,,,,520.0,67.10000000000001,718999.9999999999,0.20469798657718122,0.13087248322147652,0.16778523489932887,0.09395973154362416,37500.0,45300.0
Arizona State University Campus Immersion,AZ,Public,74.26,135000.0,62633.0,27056.0,66.01,88.37,86.2,False,1207.0,670.0,650.0,,72.8,801000.0000000001,0.0903038334424345,0.05977679498028196,0.11517889930228474,0.0723260900803091,42200.0,55500.0
University of Arizona,AZ,Public,77.84,123660.0,34659.0,27461.0,64.89,85.13,85.47,True,1220.0,690.0,660.0,,69.3,800000.0,0.06965001875414756,0.05282899102686171,0.08272021697106091,0.060561470325168065,41800.0,56000.0
Embry-Riddle Aeronautical University-Prescott,AZ,Private NonProfit,72.2,111072.0,2959.0,54536.0,59.16,66.85,82.17999999999999,False,1238.0,670.0,650.0,,78.7,884000.0,0.3068604258195336,0.2936802973977695,0.4123014531936465,0.26394052044609667,51400.0,70300.0
Grand Canyon University,AZ,Private ForProfit,8.219999999999999,82440.0,62424.0,31376.0,46.57,80.69,73.55000000000001,True,,,,,59.6,776000.0000000001,0.03421760861207228,0.0131039343842112,0.1449602716903755,0.03817442009483532,36000.0,58500.0
Northern Arizona University,AZ,Public,67.83,107172.0,24880.0,27969.0,56.87,81.64,76.25999999999999,True,,,,,66.8,757000.0,0.08243569131832798,0.05860128617363344,0.11137459807073954,0.08223472668810289,36900.0,44600.0
Prescott College,AZ,Private NonProfit,25.790000000000003,65076.0,413.0,43649.0,48.78,98.42,58.81999999999999,True,1141.0,610.0,680.0,580.0,52.8,625000.0,0.3414043583535109,0.09443099273607748,0.25181598062953997,0.11380145278450363,28500.0,34300.0
Arizona Christian University,AZ,Private NonProfit,28.09,61224.0,883.0,44585.0,43.79,71.47,46.58,False,1031.0,550.0,570.0,,60.3,634000.0,0.07361268403171008,0.05549263873159683,0.08154020385050963,0.08040770101925254,32600.0,34900.0
University of Arkansas at Little Rock,AR,Public,100.0,117864.0,5620.0,20416.0,41.69,56.04,73.09,True,1098.0,580.0,610.0,510.0,59.8,659000.0000000001,0.29519572953736656,0.05765124555160142,0.27508896797153026,0.06797153024911032,34600.0,39500.0
University of Arkansas for Medical Sciences,AR,Public,88.24,121728.0,838.0,,,,,True,,,,,89.4,886000.0,0.3902147971360382,0.14439140811455847,0.2947494033412888,0.15632458233890215,68000.0,69000.0
Lyon College,AR,Private NonProfit,100.0,78576.0,665.0,41396.0,42.52,50.14999999999999,68.78999999999999,False,1198.0,585.0,580.0,560.0,62.3,735999.9999999999,0.10977443609022557,0.09022556390977443,0.16541353383458646,0.10075187969924812,31400.0,44800.0
University of Arkansas,AR,Public,88.25,119412.0,22624.0,23997.0,68.5,77.66999999999999,84.71,True,1236.0,640.0,640.0,,70.19999999999999,767000.0,0.05251060820367751,0.051626591230551626,0.06952793493635077,0.0800919377652051,40900.0,52700.0
University of Arkansas at Pine Bluff,AR,Public,80.62,70620.0,2440.0,19541.0,38.92,59.66,74.17,True,900.0,500.0,500.0,485.0,38.0,535000.0,0.3274590163934426,0.03401639344262295,0.3254098360655738,0.040983606557377046,23900.0,30600.0
Arkansas State University,AR,Public,100.0,86880.0,7739.0,23009.0,53.010000000000005,67.19000000000001,79.05,True,1149.0,630.0,590.0,480.0,53.400000000000006,630000.0,0.2931903346685618,0.05698410647370461,0.31425248740147305,0.06848430029719602,30900.0,36600.0
Arkansas Tech University,AR,Public,99.46,81948.0,7384.0,19361.0,44.22,97.66,67.21000000000001,True,,,,,55.8,652000.0,0.16075297941495126,0.04536836403033586,0.23781148429035753,0.0628385698808234,31600.0,38600.0
University of Central Arkansas,AR,Public,78.22,85992.0,8237.0,23185.0,45.73,93.78,78.84,True,1166.0,570.0,580.0,550.0,57.99999999999999,698999.9999999999,0.1655942697584072,0.08376836226781595,0.15284691028286998,0.07332766784023309,32600.0,42500.0
Central Baptist College,AR,Private NonProfit,26.47,66120.0,554.0,26390.0,38.46,49.81,56.73,False,1041.0,535.0,565.0,450.0,59.3,661000.0000000001,0.15342960288808663,0.07220216606498195,0.2888086642599278,0.1407942238267148,34200.0,43000.0
Crowley's Ridge College,AR,Private NonProfit,44.74,49584.0,172.0,23348.0,38.71,,74.07000000000001,False,,,,,37.2,583000.0,0.27906976744186046,,0.26744186046511625,,24200.0,29600.0
