School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Monthly Salary,Student Enrollment Size,RetentionRate_4yr,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Female_Majority,MeanEarningsGenderDiff10
University of Arkansas at Little Rock,AR,Public,100.0,9822.0,5620.0,73.09,20416.0,41.69,56.04,1098.0,580.0,610.0,510.0,34600.0,39500.0,True,10200.0
University of Arkansas for Medical Sciences,AR,Public,88.24,10144.0,838.0,,,,,,,,,68000.0,69000.0,True,32800.0
Lyon College,AR,Private NonProfit,100.0,6548.0,665.0,68.78999999999999,41396.0,42.52,50.14999999999999,1198.0,585.0,580.0,560.0,31400.0,44800.0,False,16100.0
University of Arkansas,AR,Public,88.25,9951.0,22624.0,84.71,23997.0,68.5,77.66999999999999,1236.0,640.0,640.0,,40900.0,52700.0,True,12100.0
University of Arkansas at Pine Bluff,AR,Public,80.62,5885.0,2440.0,74.17,19541.0,38.92,59.66,900.0,500.0,500.0,485.0,23900.0,30600.0,True,1500.0
Arkansas State University,AR,Public,100.0,7240.0,7739.0,79.05,23009.0,53.010000000000005,67.19000000000001,1149.0,630.0,590.0,480.0,30900.0,36600.0,True,10800.0
Arkansas Tech University,AR,Public,99.46,6829.0,7384.0,67.21000000000001,19361.0,44.22,97.66,,,,,31600.0,38600.0,True,14400.0
University of Central Arkansas,AR,Public,78.22,7166.0,8237.0,78.84,23185.0,45.73,93.78,1166.0,570.0,580.0,550.0,32600.0,42500.0,True,9500.0
Central Baptist College,AR,Private NonProfit,26.47,5510.0,554.0,56.73,26390.0,38.46,49.81,1041.0,535.0,565.0,450.0,34200.0,43000.0,False,15400.0
Crowley's Ridge College,AR,Private NonProfit,44.74,4132.0,172.0,74.07000000000001,23348.0,38.71,,,,,,24200.0,29600.0,False,
Harding University,AR,Private NonProfit,74.16,7492.0,3492.0,86.82,31647.0,71.52,55.06999999999999,1207.0,640.0,650.0,,35600.0,47000.0,True,15200.0
Henderson State University,AR,Public,99.52,6704.0,2603.0,60.89,23005.0,34.11,74.9,1098.0,580.0,590.0,,29300.0,40400.0,True,10800.0
Hendrix College,AR,Private NonProfit,100.0,7485.0,1065.0,82.04,64046.0,65.5,70.54,,,,,35100.0,44500.0,True,10100.0
John Brown University,AR,Private NonProfit,98.2,6937.0,1437.0,86.16,40774.0,64.47,58.86,1227.0,630.0,680.0,650.0,45300.0,55400.0,True,18300.0
Ouachita Baptist University,AR,Private NonProfit,94.96,6510.0,1520.0,81.41000000000001,40200.0,60.48,61.77,1203.0,600.0,630.0,,34600.0,46000.0,True,10500.0
University of the Ozarks,AR,Private NonProfit,81.36,6680.0,831.0,69.38,34832.0,47.370000000000005,55.900000000000006,1070.0,620.0,610.0,520.0,28700.0,38600.0,False,10000.0
Philander Smith College,AR,Private NonProfit,100.0,5971.0,796.0,58.4,26178.0,33.64,,,,,,23600.0,27300.0,True,1900.0
Williams Baptist University,AR,Private NonProfit,100.0,5427.0,580.0,52.53,30063.0,37.8,69.3,1088.0,640.0,690.0,,29300.0,36400.0,True,16200.0
Southern Arkansas University Main Campus,AR,Public,68.07,6889.0,3121.0,71.50999999999999,23044.0,42.61,68.53,1120.0,,,,30400.0,39000.0,True,9500.0
University of Arkansas-Fort Smith,AR,Public,69.46,7065.0,4615.0,73.50999999999999,17288.0,31.08,,,,,,30700.0,35000.0,True,11200.0
Academy of Art University,CA,Private ForProfit,25.16,7328.0,6024.0,70.39,43976.0,46.88,,,,,,32800.0,47300.0,True,9000.0
Art Center College of Design,CA,Private NonProfit,26.61,8009.0,1907.0,77.99000000000001,66046.0,71.43,76.09,,,,,48800.0,62300.0,True,13500.0
Azusa Pacific University,CA,Private NonProfit,42.77,9132.0,4498.0,76.16000000000001,56802.0,66.22,93.6,,,,,48300.0,55900.0,True,13000.0
Bethesda University,CA,Private NonProfit,12.5,2221.0,285.0,48.28,22453.0,24.0,,,,,,,,False,
Biola University,CA,Private NonProfit,100.0,7394.0,3683.0,78.16,58012.0,71.39999999999999,64.38000000000001,1196.0,640.0,650.0,610.0,38700.0,50700.0,True,17100.0
California Institute of Integral Studies,CA,Private NonProfit,27.36,8605.0,98.0,,,,,,,,,38300.0,,True,
California Baptist University,CA,Private NonProfit,42.09,10122.0,8093.0,76.46,48731.0,61.95,80.17999999999999,1064.0,570.0,580.0,530.0,40000.0,47500.0,True,15900.0
California College of the Arts,CA,Private NonProfit,20.57,9906.0,1225.0,70.56,68956.0,67.03,85.45,,,,,36200.0,48000.0,True,12700.0
California Institute of Technology,CA,Private NonProfit,93.78,20228.0,901.0,93.62,74763.0,91.56,6.69,1566.0,800.0,780.0,800.0,68500.0,106300.0,False,
