School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Trinity Baptist College,100.0,47760.0,323.0,22571.0,31.630000000000003,67.47999999999999,52.05,1006.0,0.0,0.0,1.0,0.0
Hallmark University,30.97,60720.0,869.0,35818.40129412395,55.26,40.510000000000005,71.43,1042.8795219542958,0.0,0.0,1.0,0.0
Trinity Bible College and Graduate School,68.42,46488.0,146.0,28799.0,45.9,100.0,50.0,1095.0,0.0,0.0,1.0,0.0
Ursinus College,77.71000000000001,107964.0,1485.0,69604.0,73.79,80.44,85.15,1253.0,0.0,0.0,1.0,0.0
Bloomfield College,100.0,117120.0,1530.0,43493.0,33.33,84.65,64.25,889.0,0.0,0.0,1.0,0.0
CUNY Hunter College,33.35,146568.0,16921.0,13219.0,55.88999999999999,40.48,83.81,1259.0,0.0,0.0,0.0,1.0
The University of Montana-Western,66.03999999999999,85092.0,1281.0,17790.0,47.04,51.85999999999999,73.05,1001.0,0.0,0.0,0.0,1.0
Northpoint Bible College,11.39,57372.0,255.0,29554.0,44.440000000000005,67.89894393894288,35.709999999999994,1041.7783360876401,0.0,0.0,1.0,0.0
Montclair State University,37.75,129744.0,16262.0,26067.0,67.95,82.66,82.8,1172.1607656578824,0.0,0.0,0.0,1.0
Saginaw Valley State University,50.28,101148.0,6953.0,22353.0,47.88,89.46,77.37,1086.0,0.0,0.0,0.0,1.0
Wagner College,98.52,95148.0,1635.0,61877.0,72.56,70.43,74.51,1197.921692479216,0.0,0.0,1.0,0.0
Bushnell University,94.29,67920.0,514.0,43464.0,51.28,68.19,67.25999999999999,1089.0,0.0,0.0,1.0,0.0
Marian University,54.92,84708.0,2375.0,49112.0,60.3,64.24,83.59,1119.6470859710075,0.0,0.0,1.0,0.0
California State University-Bakersfield,52.26,113868.0,9955.0,18661.0,46.29,78.38000000000001,82.59,1119.7075268407248,0.0,0.0,0.0,1.0
Calvin University,99.12,104556.0,3096.0,50191.0,75.42,73.21,87.0,1229.0,0.0,0.0,1.0,0.0
Bethune-Cookman University,100.0,81240.0,2746.0,30219.0,33.06,97.73,73.17,919.0,0.0,0.0,1.0,0.0
Chicago State University,99.52,97416.0,1683.0,21867.0,16.21,46.42,53.59,887.0,0.0,0.0,0.0,1.0
University of the Virgin Islands,100.0,84948.0,1523.0,16381.0,30.14,99.69,63.04,914.0,0.0,0.0,0.0,1.0
Rasmussen University-Florida,9.86,85944.0,9008.0,23396.0,40.36,72.03719218350025,50.0,1069.7400219910505,0.0,1.0,0.0,0.0
Franklin Pierce University,23.85,87060.0,1434.0,56500.0,51.080000000000005,84.68,73.08,1124.5002942937579,0.0,0.0,1.0,0.0
Shorter University,54.96,61464.0,1151.0,34403.0,42.91,70.93,63.27,1071.0,0.0,0.0,1.0,0.0
Lincoln Christian University,69.44,68844.0,308.0,27166.0,43.28,59.1946785491339,59.650000000000006,1034.3685164393896,0.0,0.0,1.0,0.0
Bluefield State College,63.21,76560.0,1231.0,18685.0,31.78,90.03,59.760000000000005,992.0,0.0,0.0,0.0,1.0
MCPHS University,35.02,122988.0,3950.0,54955.0,70.30999999999999,91.12,81.69,1096.0,0.0,0.0,1.0,0.0
Cornerstone University,100.0,75336.0,1399.0,35814.0,65.31,86.97,85.61,1067.0,0.0,0.0,1.0,0.0
Dominican University,39.42,86928.0,2155.0,43228.0,63.0,76.46,82.58,1072.0,0.0,0.0,1.0,0.0
Oklahoma Baptist University,65.84,89244.0,1610.0,42983.0,54.66,58.21,73.27,1138.0,0.0,0.0,1.0,0.0
Barnard College,78.09,170004.0,2744.0,77758.0,90.0,13.6,92.78,1447.0,0.0,0.0,1.0,0.0
Southern Utah University,75.67,86712.0,8356.0,19854.0,45.52,75.56,72.33000000000001,1183.0,0.0,0.0,0.0,1.0
University of Minnesota-Twin Cities,82.43,146184.0,30907.0,27654.0,84.26,69.64,93.32,1320.0,0.0,0.0,0.0,1.0
Brescia University,42.99,68172.0,803.0,36939.0,35.980000000000004,47.83,70.67,1112.0,0.0,0.0,1.0,0.0
Sentara College of Health Sciences,51.56,91380.0,275.0,22150.324120054956,25.02203978163598,74.54546320584726,50.893294799751615,1144.5270675487866,0.0,0.0,1.0,0.0
Carnegie Mellon University,92.21,149328.0,6539.0,74489.0,93.46,17.27,95.61,1513.0,0.0,0.0,1.0,0.0
The University of Texas Health Science Center at Houston,59.21999999999999,127356.0,687.0,29204.11349311465,30.611363503647052,67.7380764209723,52.680447844858,1187.241024461722,0.0,0.0,0.0,1.0
Villanova University,65.60000000000001,135996.0,6980.0,73042.0,92.2,30.66,95.97,1406.0,0.0,0.0,1.0,0.0
Warren Wilson College,60.78,67956.0,625.0,52526.0,41.88,84.84,56.6,1220.0,0.0,0.0,1.0,0.0
Post University,5.53,72732.0,12630.0,30161.0,25.14,84.89167300817869,60.47,1115.0695721044249,0.0,1.0,0.0,0.0
College of Mount Saint Vincent,25.17,107016.0,2235.0,51240.0,62.67,92.68,75.51,1002.0,0.0,0.0,1.0,0.0
Pitzer College,89.38000000000001,142668.0,922.0,75850.0,83.21,16.57,81.45,1407.0727569049043,0.0,0.0,1.0,0.0
CUNY Bernard M Baruch College,42.36,146136.0,15456.0,13569.0,72.53,40.71,87.62,1268.0,0.0,0.0,0.0,1.0
The University of Texas at Austin,84.17999999999999,164940.0,39624.0,27397.0,87.56,31.95,96.65,1349.0,0.0,0.0,0.0,1.0
South Dakota School of Mines and Technology,89.33,115656.0,2043.0,25078.0,49.92,85.55,78.16,1266.0,0.0,0.0,0.0,1.0
Dakota Wesleyan University,56.18,72792.0,690.0,38617.0,44.29,64.2,69.33,1061.0,0.0,0.0,1.0,0.0
University of the Potomac-Washington DC Campus,100.0,24996.0,68.0,24964.0,42.86,81.63247099763409,80.0,997.5793393539533,0.0,1.0,0.0,0.0
Pacific Northwest College of Art,19.3,68412.0,445.0,54345.0,42.47,95.97,49.07,1121.6296309979334,0.0,0.0,1.0,0.0
Frostburg State University,71.35000000000001,88980.0,3749.0,24650.0,52.77,73.61,74.42,1024.0,0.0,0.0,0.0,1.0
Northwest Missouri State University,77.02,88548.0,5151.0,20235.0,54.05,80.11,75.7,1104.0,0.0,0.0,0.0,1.0
Northwestern State University of Louisiana,59.47,77820.0,8181.0,22940.0,47.49,94.85,75.59,1050.0,0.0,0.0,0.0,1.0
Citadel Military College of South Carolina,68.01,106140.0,2828.0,30022.0,71.5,79.95,87.46000000000001,1139.0,0.0,0.0,0.0,1.0
California State University-Sacramento,48.120000000000005,117888.0,29228.0,21576.0,53.580000000000005,83.09,84.11999999999999,1033.0,0.0,0.0,0.0,1.0
University of the Cumberlands,26.040000000000003,67812.0,4014.0,23624.0,40.05,81.44,65.72,1095.0,0.0,0.0,1.0,0.0
Point Park University,30.09,104940.0,2787.0,45350.0,54.85,69.51,72.97,1079.0,0.0,0.0,1.0,0.0
Grand Canyon University,8.219999999999999,82440.0,62424.0,31376.0,46.57,80.69,73.55000000000001,1121.987324085007,0.0,1.0,0.0,0.0
Davis & Elkins College,55.56,68304.0,702.0,42233.0,47.85,69.05,69.31,1060.681384389796,0.0,0.0,1.0,0.0
Beth Medrash Govoha,12.1,94308.0,3004.0,45362.079186067545,67.9598349368449,71.35960591000725,81.71497250699558,1182.303807889505,0.0,0.0,1.0,0.0
University of Science and Arts of Oklahoma,54.120000000000005,72288.0,718.0,18540.0,41.07,35.75,63.89,917.0,0.0,0.0,0.0,1.0
Beulah Heights University,11.43,53088.0,344.0,11650.0,7.41,69.52356638433663,90.0,1033.677224331322,0.0,0.0,1.0,0.0
University of Michigan-Ann Arbor,82.92,142380.0,31189.0,30926.0,93.44,26.11,96.26,1445.0,0.0,0.0,0.0,1.0
