School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,Female_Majority,SAT Average,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Ivy League Plus
Wabash College,IN,Private NonProfit,91.84,107604.0,868.0,58770.0,74.8,63.21,83.84,False,1226.0,42100.0,64000.0,0
Allen College,IA,Private NonProfit,49.43,90576.0,374.0,,,,,True,,53000.0,52800.0,0
Briar Cliff University,IA,Private NonProfit,69.69999999999999,75540.0,686.0,45452.0,50.0,,61.48,True,,37000.0,44400.0,0
Buena Vista University,IA,Private NonProfit,21.55,76968.0,1408.0,48297.0,62.19,55.67999999999999,73.91,True,,36000.0,42600.0,0
Central College,IA,Private NonProfit,100.0,89424.0,1091.0,53402.0,67.83,63.68000000000001,73.29,False,1116.0,37300.0,48400.0,0
Clarke University,IA,Private NonProfit,58.96,74760.0,654.0,48724.0,65.75,89.2,72.39,True,1085.0,39700.0,44800.0,0
Coe College,IA,Private NonProfit,100.0,80256.0,1363.0,58857.0,61.7,79.86,81.27,True,,38700.0,50000.0,0
Cornell College,IA,Private NonProfit,100.0,90384.0,996.0,58201.0,67.43,82.41000000000001,74.07000000000001,False,1224.0,34500.0,45400.0,0
Dordt University,IA,Private NonProfit,64.96,77256.0,1354.0,46028.0,65.55,71.84,83.72,False,1209.0,37900.0,45300.0,0
Drake University,IA,Private NonProfit,67.21000000000001,107316.0,2814.0,57643.0,77.79,67.92,86.14,True,1254.0,54300.0,68700.0,0
University of Dubuque,IA,Private NonProfit,100.0,82836.0,1778.0,47188.0,45.7,78.63,66.41,False,1010.0,35300.0,42500.0,0
Faith Baptist Bible College and Theological Seminary,IA,Private NonProfit,40.82,62652.0,288.0,28069.0,51.72,67.60000000000001,72.34,True,1152.0,32000.0,38700.0,0
Graceland University-Lamoni,IA,Private NonProfit,89.03999999999999,76116.0,915.0,43960.0,40.86,68.07,78.24,True,1043.0,41400.0,40200.0,0
Grand View University,IA,Private NonProfit,41.98,80928.0,1660.0,39864.0,55.56,97.02,68.60000000000001,True,1059.0,39800.0,45200.0,0
Grinnell College,IA,Private NonProfit,83.27,136152.0,1490.0,70346.0,86.67,19.25,80.61,True,1448.0,36700.0,61000.0,0
Iowa State University,IA,Public,84.98,136392.0,26566.0,21740.0,74.72,88.42,88.63,False,1197.0,44000.0,56000.0,0
Iowa Wesleyan University,IA,Private NonProfit,42.11,68688.0,650.0,45994.0,29.87,71.19,61.59,False,959.0,32700.0,39900.0,0
University of Iowa,IA,Public,86.38,141480.0,21909.0,24806.0,72.19,84.28,88.1,True,1229.0,47700.0,62000.0,0
Loras College,IA,Private NonProfit,82.09,79860.0,1239.0,46290.0,69.62,58.38,78.53,False,,38200.0,50200.0,0
Luther College,IA,Private NonProfit,76.62,92028.0,1794.0,57885.0,76.74,64.29,77.42,True,1229.0,38400.0,53200.0,0
Maharishi International University,IA,Private NonProfit,89.29,43896.0,537.0,28730.0,42.86,100.0,46.67,True,,22900.0,30400.0,0
Mercy College of Health Sciences,IA,Private NonProfit,46.56,71220.0,854.0,29813.0,51.22,91.67,62.16,True,1105.0,44000.0,48000.0,0
Morningside University,IA,Private NonProfit,100.0,84468.0,1184.0,45927.0,60.34,68.60000000000001,68.66,True,,38000.0,47900.0,0
Mount Mercy University,IA,Private NonProfit,100.0,63300.0,1376.0,48189.0,57.46,76.21,79.72,True,,43600.0,48400.0,0
Ashford University,CA,Private ForProfit,5.6000000000000005,87276.0,24832.0,25683.0,8.19,,26.16,True,,34000.0,47600.0,0
University of Northern Iowa,IA,Public,79.75,100884.0,8204.0,21047.0,63.56,78.88,85.55,True,1149.0,39600.0,49700.0,0
Northwestern College,IA,Private NonProfit,100.0,81276.0,1040.0,45760.0,68.57,73.77,78.97,True,1146.0,36100.0,40200.0,0
Palmer College of Chiropractic,IA,Private NonProfit,81.13,75096.0,29.0,,0.0,,,False,,43800.0,53600.0,0
Saint Ambrose University,IA,Private NonProfit,100.0,89772.0,2299.0,46894.0,64.03999999999999,73.83999999999999,82.53,True,1110.0,41500.0,50500.0,0
Simpson College,IA,Private NonProfit,54.86,79632.0,1218.0,53845.0,70.93,86.61999999999999,76.71,True,1149.0,40000.0,51200.0,0
Upper Iowa University,IA,Private NonProfit,100.0,70488.0,2934.0,45237.0,27.06,65.3,74.02,True,1035.0,41200.0,45500.0,0
Waldorf University,IA,Private ForProfit,31.37,66264.0,2457.0,34318.0,51.9,61.06,25.77,False,1018.0,32900.0,42400.0,0
Wartburg College,IA,Private NonProfit,100.0,82356.0,1531.0,55508.0,68.32000000000001,71.72,82.37,True,1114.0,40700.0,50600.0,0
William Penn University,IA,Private NonProfit,100.0,68412.0,1231.0,38337.0,37.31,55.03,60.61,False,,36900.0,46400.0,0
Baker University,KS,Private NonProfit,27.64,74316.0,1331.0,44473.0,62.05,93.41,78.69,True,1102.0,48500.0,59500.0,0
Benedictine College,KS,Private NonProfit,54.81,80484.0,1980.0,46309.0,65.02,96.78,83.59,True,1213.0,35500.0,45000.0,0
Bethany College,KS,Private NonProfit,100.0,65448.0,742.0,49294.0,34.04,68.32000000000001,49.8,False,1035.0,32100.0,45100.0,0
Bethel College-North Newton,KS,Private NonProfit,72.0,67608.0,482.0,43795.0,43.64,61.31999999999999,70.32000000000001,False,1031.0,36600.0,45600.0,0
Central Christian College of Kansas,KS,Private NonProfit,25.0,45096.0,561.0,30742.0,22.99,,64.29,True,,30400.0,34800.0,0
Emporia State University,KS,Public,88.21,83808.0,3081.0,19526.0,46.31,86.08,77.63,True,,33000.0,40300.0,0
Fort Hays State University,KS,Public,50.63,86208.0,11916.0,18111.0,45.73,91.35,77.89,True,,36800.0,42700.0,0
Barclay College,KS,Private NonProfit,48.65,59280.0,166.0,34250.0,41.46,47.98,79.31,True,,29600.0,32500.0,0
Friends University,KS,Private NonProfit,100.0,79092.0,999.0,39879.0,41.99,57.54,66.67,True,1081.0,42300.0,46900.0,0
University of Kansas,KS,Public,84.6,124152.0,18438.0,26204.0,63.11,90.93,85.7,True,1227.0,45100.0,59300.0,0
Newman University,KS,Private NonProfit,97.67,74076.0,977.0,41633.0,47.13,83.08,72.28999999999999,True,,39500.0,47900.0,0
Kansas State University,KS,Public,89.97,115608.0,16063.0,24626.0,67.52,94.15,87.16000000000001,False,,41400.0,51900.0,0
Kansas Wesleyan University,KS,Private NonProfit,100.0,70392.0,743.0,44254.0,47.18,61.79,63.83,False,,36000.0,43300.0,0
Manhattan Christian College,KS,Private NonProfit,59.09,62832.0,164.0,30594.0,37.68,48.95,51.43,False,1085.0,30600.0,38800.0,0
McPherson College,KS,Private NonProfit,100.0,81900.0,808.0,44154.0,38.0,52.16,65.78,False,,37900.0,43500.0,0
MidAmerica Nazarene University,KS,Private NonProfit,100.0,78828.0,1099.0,48863.0,48.35,63.75999999999999,60.31999999999999,True,,45700.0,49600.0,0
Ottawa University-Ottawa,KS,Private NonProfit,100.0,75900.0,719.0,47369.0,36.69,70.3,59.89,False,1012.0,41600.0,48100.0,0
Ottawa University-Kansas City,KS,Private NonProfit,100.0,42720.0,250.0,,,,,True,,41600.0,48100.0,0
Pittsburg State University,KS,Public,67.5,89844.0,4566.0,18657.0,52.64,90.68,73.92999999999999,False,,37900.0,44400.0,0
University of Saint Mary,KS,Private NonProfit,52.55,76044.0,762.0,42175.0,56.07,59.56,66.44,True,1020.0,41900.0,42500.0,0
Southwestern College,KS,Private NonProfit,100.0,74052.0,1253.0,46869.0,38.21,56.24,53.13,False,1020.0,41200.0,54000.0,0
Sterling College,KS,Private NonProfit,56.47,54768.0,569.0,40406.0,46.74,36.88,57.55,False,1061.0,31800.0,40500.0,0
Tabor College,KS,Private NonProfit,43.02,61404.0,528.0,44240.0,42.14,46.39,49.6,False,1047.0,37700.0,45500.0,0
Washburn University,KS,Public,64.24,93516.0,4202.0,20011.0,51.2,,69.65,True,,36100.0,43500.0,0
Wichita State University,KS,Public,98.17,97836.0,10770.0,20418.0,48.43,79.63,70.88,True,1167.0,38900.0,45400.0,0
Alice Lloyd College,KY,Private NonProfit,80.56,59748.0,569.0,25490.0,35.33,21.15,65.33,False,994.0,28400.0,41600.0,0
Asbury University,KY,Private NonProfit,48.17,79464.0,1399.0,42462.0,63.580000000000005,75.14999999999999,80.62,True,1203.0,29300.0,40700.0,0
Bellarmine University,KY,Private NonProfit,42.19,95616.0,2431.0,56319.0,64.31,82.37,83.77,True,1196.0,43100.0,50600.0,0
Berea College,KY,Private NonProfit,87.77000000000001,98508.0,1432.0,54866.0,67.31,32.96,87.41,True,1189.0,27100.0,36300.0,0
Brescia University,KY,Private NonProfit,42.99,68172.0,803.0,36939.0,35.980000000000004,47.83,70.67,True,1112.0,30800.0,48000.0,0
Campbellsville University,KY,Private NonProfit,39.4,72180.0,2723.0,38502.0,36.1,77.64,64.45,True,,28700.0,35400.0,0
Centre College,KY,Private NonProfit,93.2,99564.0,1333.0,56645.0,83.16,72.08,89.3,True,1325.0,38500.0,53800.0,0
Clear Creek Baptist Bible College,KY,Private NonProfit,64.71000000000001,54156.0,84.0,19055.0,16.669999999999998,,82.35,False,,28900.0,31000.0,0
Galen College of Nursing-Louisville,KY,Private ForProfit,46.57,73344.0,2848.0,,51.790000000000006,,14.81,True,,43200.0,44400.0,0
University of the Cumberlands,KY,Private NonProfit,26.040000000000003,67812.0,4014.0,23624.0,40.05,81.44,65.72,True,1095.0,28500.0,38200.0,0
Eastern Kentucky University,KY,Public,60.0,85752.0,11255.0,23384.0,45.22,97.95,79.47999999999999,True,1116.0,32700.0,39300.0,0
Georgetown College,KY,Private NonProfit,55.26,76428.0,1076.0,53196.0,55.720000000000006,72.16,71.34,True,,32500.0,50500.0,0
Kentucky State University,KY,Public,96.35,80832.0,1658.0,16885.0,30.0,83.98,78.5,True,959.0,25600.0,31300.0,0
Kentucky Wesleyan College,KY,Private NonProfit,49.45,65460.0,840.0,40177.0,37.93,60.19,65.84,True,1083.0,30100.0,41700.0,0
University of Kentucky,KY,Public,87.56,130872.0,21788.0,30178.0,66.36,96.36,85.92,True,1223.0,43500.0,54000.0,0
Kentucky Christian University,KY,Private NonProfit,27.84,57300.0,514.0,34496.0,31.41,28.29,59.53000000000001,False,970.0,29900.0,36500.0,0
Lindsey Wilson College,KY,Private NonProfit,58.46,70536.0,1905.0,38208.0,39.84,,68.14,True,,25700.0,31300.0,0
University of Louisville,KY,Public,53.55,97116.0,14309.0,28247.0,60.34,65.12,80.94,True,1198.0,38200.0,48600.0,0
Midway University,KY,Private NonProfit,26.450000000000003,82728.0,1156.0,41077.0,51.35,73.06,67.35,True,1084.0,34600.0,37400.0,0
Morehead State University,KY,Public,74.88,77460.0,5680.0,22059.0,43.120000000000005,76.7,75.84,True,,30000.0,37000.0,0
Murray State University,KY,Public,78.73,78420.0,6981.0,21349.0,53.36,77.03,81.08,True,1179.0,33100.0,42300.0,0
Northern Kentucky University,KY,Public,97.19,93444.0,9604.0,17869.0,46.64,87.03,74.56,True,1144.0,35200.0,41800.0,0
University of Pikeville,KY,Private NonProfit,62.16,76476.0,1073.0,33068.0,32.190000000000005,,60.55,True,,32100.0,39000.0,0
Spalding University,KY,Private NonProfit,65.13,88584.0,842.0,38163.0,57.89,93.43,65.64999999999999,True,1026.0,38000.0,48300.0,0
Thomas More University,KY,Private NonProfit,51.48,77388.0,1506.0,42003.0,39.49,91.91,67.60000000000001,True,,46700.0,58900.0,0
Transylvania University,KY,Private NonProfit,74.78,91536.0,959.0,53097.0,73.95,92.12,79.47999999999999,True,1267.0,34400.0,50100.0,0
Union College,KY,Private NonProfit,100.0,59316.0,927.0,39439.0,27.73,57.330000000000005,61.8,False,1035.0,28800.0,36400.0,0
Western Kentucky University,KY,Public,72.41,93648.0,13086.0,21084.0,52.31,97.75,76.79,True,1130.0,30800.0,38600.0,0
Centenary College of Louisiana,LA,Private NonProfit,70.13000000000001,85104.0,552.0,55300.0,55.71,63.690000000000005,76.16000000000001,True,1191.0,32900.0,52500.0,0
Dillard University,LA,Private NonProfit,67.83,79428.0,1214.0,33421.0,49.54,65.31,69.97,True,1044.0,27600.0,37900.0,0
Grambling State University,LA,Public,98.47,71916.0,4511.0,24332.0,42.11,93.22,77.08,True,942.0,26200.0,32800.0,0
Louisiana State University Health Sciences Center-New Orleans,LA,Public,72.97,100944.0,904.0,,,,,True,,65600.0,99800.0,0
Louisiana State University-Alexandria,LA,Public,56.44,72144.0,3208.0,14207.0,31.22,63.54,59.93000000000001,True,1042.0,33000.0,36300.0,0
Louisiana State University and Agricultural & Mechanical College,LA,Public,90.48,121068.0,25203.0,32724.0,69.56,73.38,85.95,True,1229.0,45000.0,60100.0,0
Louisiana State University-Shreveport,LA,Public,65.13,97092.0,2290.0,19065.0,36.94,82.67999999999999,61.63,True,1133.0,36000.0,41000.0,0
Louisiana College,LA,Private NonProfit,63.96,68952.0,868.0,27669.0,33.62,71.16,61.18,False,1082.0,35400.0,48300.0,0
Louisiana Tech University,LA,Public,76.44,94896.0,7923.0,21927.0,61.42,63.57000000000001,80.78,False,1216.0,38800.0,49200.0,0
Loyola University New Orleans,LA,Private NonProfit,60.36,101556.0,3144.0,54417.0,58.88,72.39,82.85,True,1160.0,36000.0,52300.0,0
McNeese State University,LA,Public,100.0,82908.0,5825.0,19489.0,43.5,63.3,71.63000000000001,True,1136.0,36600.0,45000.0,0
University of New Orleans,LA,Public,70.50999999999999,98448.0,5985.0,20864.0,41.49,82.91,69.87,True,1088.0,35200.0,43500.0,0
Nicholls State University,LA,Public,100.0,77244.0,5664.0,21275.0,45.48,93.29,75.49,True,1104.0,37200.0,43800.0,0
University of Louisiana at Monroe,LA,Public,70.61,88536.0,5676.0,20851.0,56.8,77.98,74.18,True,1118.0,38100.0,46300.0,0
Northwestern State University of Louisiana,LA,Public,59.47,77820.0,8181.0,22940.0,47.49,94.85,75.59,True,1050.0,35700.0,39600.0,0
University of Holy Cross,LA,Private NonProfit,46.88,92100.0,549.0,23715.0,37.5,52.73,67.21000000000001,True,,38700.0,40700.0,0
Franciscan Missionaries of Our Lady University,LA,Private NonProfit,100.0,89988.0,944.0,26751.0,38.2,46.650000000000006,79.66,True,1120.0,46400.0,49400.0,0
Southeastern Louisiana University,LA,Public,82.12,82752.0,11084.0,21073.0,40.13,97.37,72.1,True,1105.0,34600.0,42800.0,0
Southern University and A & M College,LA,Public,93.31,84504.0,5350.0,23592.0,28.22,43.45,60.08,True,975.0,30800.0,39600.0,0
Southern University at New Orleans,LA,Public,65.49000000000001,74028.0,1439.0,16762.0,18.84,72.0,41.63,True,925.0,26800.0,32100.0,0
University of Louisiana at Lafayette,LA,Public,79.36999999999999,98568.0,12972.0,22948.0,51.17,67.28,79.43,True,1148.0,37200.0,46400.0,0
Tulane University of Louisiana,LA,Private NonProfit,66.89,145020.0,8537.0,75628.0,85.77,11.11,91.98,True,1427.0,48400.0,86300.0,0
Xavier University of Louisiana,LA,Private NonProfit,84.48,111264.0,2502.0,36391.0,49.74,80.62,77.03999999999999,True,1112.0,46700.0,64500.0,0
College of the Atlantic,ME,Private NonProfit,100.0,101436.0,364.0,54899.0,65.82000000000001,75.8,88.57000000000001,True,,20500.0,27800.0,0
Bates College,ME,Private NonProfit,89.59,133584.0,1876.0,73538.0,92.46,14.099999999999998,89.75999999999999,True,,46000.0,74300.0,0
Bowdoin College,ME,Private NonProfit,89.96,149340.0,1776.0,73800.0,94.99,9.16,85.94000000000001,True,,57100.0,83300.0,0
Colby College,ME,Private NonProfit,95.25,138948.0,2155.0,73600.0,90.42,10.27,90.64,True,1456.0,50200.0,71000.0,0
University of Maine at Augusta,ME,Public,40.26,88068.0,3077.0,16948.0,18.82,,61.62,True,,26000.0,30600.0,0
University of Maine at Farmington,ME,Public,70.24000000000001,88020.0,1509.0,22802.0,60.0,94.61,71.8,True,,27700.0,37500.0,0
University of Maine at Fort Kent,ME,Public,39.74,80244.0,862.0,18521.0,39.06,99.83,67.74,True,,36000.0,37700.0,0
University of Maine at Machias,ME,Public,53.190000000000005,87072.0,390.0,18704.0,28.18,,58.24,True,,25400.0,29400.0,0
University of Maine,ME,Public,70.32000000000001,123072.0,8870.0,24581.0,56.46,92.21,77.99000000000001,False,,37400.0,48300.0,0
Maine Maritime Academy,ME,Public,77.06,149316.0,925.0,28208.0,74.25,52.14,77.31,False,1085.0,82000.0,107200.0,0
University of Maine at Presque Isle,ME,Public,45.83,89988.0,911.0,17586.0,31.180000000000003,99.0,70.95,True,,27600.0,35300.0,0
University of New England,ME,Private NonProfit,54.75,105900.0,2300.0,56844.0,61.260000000000005,87.26,75.26,True,,41200.0,51000.0,0
Maine College of Art & Design,ME,Private NonProfit,26.21,73524.0,376.0,51962.0,52.1,70.26,64.41,True,,24000.0,32800.0,0
Saint Joseph's College of Maine,ME,Private NonProfit,100.0,76380.0,1151.0,52614.0,58.940000000000005,86.72999999999999,73.33,True,1081.0,42500.0,47000.0,0
University of Southern Maine,ME,Public,35.47,111480.0,5018.0,19582.0,36.05,87.92999999999999,69.66,True,1062.0,35600.0,44400.0,0
Thomas College,ME,Private NonProfit,47.95,84048.0,757.0,40911.0,50.45,,75.24,False,,31700.0,43400.0,0
Unity College,ME,Private NonProfit,28.48,66096.0,1188.0,42474.0,46.52,99.77,41.620000000000005,True,,27800.0,37400.0,0
University of Baltimore,MD,Public,61.73,135012.0,1856.0,24521.0,33.629999999999995,79.93,77.5,True,1018.0,45100.0,63400.0,0
Bowie State University,MD,Public,49.67,106212.0,5286.0,22891.0,43.1,81.21000000000001,76.78,True,936.0,34200.0,48700.0,0
Capitol Technology University,MD,Private NonProfit,7.59,85224.0,359.0,40538.0,48.08,84.36,80.25999999999999,False,,53000.0,68100.0,0
Washington Adventist University,MD,Private NonProfit,19.77,69744.0,703.0,33721.0,42.11,93.95,67.19000000000001,True,,46700.0,46300.0,0
Coppin State University,MD,Public,50.62,98892.0,2084.0,17787.0,30.34,40.2,64.72,True,902.0,31700.0,41800.0,0
Frostburg State University,MD,Public,71.35000000000001,88980.0,3749.0,24650.0,52.77,73.61,74.42,True,1024.0,33800.0,47200.0,0
Goucher College,MD,Private NonProfit,37.69,87996.0,1106.0,62979.0,66.08000000000001,79.41,69.82000000000001,True,,31800.0,55100.0,0
Hood College,MD,Private NonProfit,41.88,93852.0,1177.0,56168.0,60.760000000000005,71.33,74.69,True,,37500.0,49400.0,0
Johns Hopkins University,MD,Private NonProfit,97.26,185004.0,5752.0,74001.0,94.4,11.06,96.51,True,1532.0,68000.0,89300.0,1
Loyola University Maryland,MD,Private NonProfit,96.62,101676.0,3813.0,67196.0,81.13,80.24,86.68,True,,52000.0,78300.0,0
University of Maryland Global Campus,MD,Public,5.29,88080.0,44442.0,19764.0,18.06,,55.21,False,,47700.0,55900.0,0
University of Maryland Baltimore,MD,Public,41.33,139488.0,863.0,,,,,True,,79900.0,114200.0,0
University of Maryland-Baltimore County,MD,Public,65.89,127020.0,10838.0,25997.0,70.28,69.48,87.0,False,1255.0,42900.0,59600.0,0
University of Maryland-College Park,MD,Public,79.86,165156.0,30214.0,27343.0,87.02,50.96000000000001,95.16,False,1391.0,50100.0,70800.0,0
Maryland Institute College of Art,MD,Private NonProfit,100.0,106980.0,1327.0,66413.0,73.39,89.83,65.99000000000001,True,,30200.0,41200.0,0
University of Maryland Eastern Shore,MD,Public,71.96000000000001,104472.0,2023.0,24348.0,40.61,62.03,72.83,True,927.0,29100.0,40400.0,0
Morgan State University,MD,Public,75.08,115980.0,6263.0,23254.0,46.31,73.59,74.19,True,988.0,30300.0,42600.0,0
Mount St. Mary's University,MD,Private NonProfit,100.0,94020.0,2009.0,57867.0,63.13999999999999,80.45,75.44,True,1082.0,42000.0,56600.0,0
Notre Dame of Maryland University,MD,Private NonProfit,52.85,83076.0,751.0,52667.0,48.6,62.29,65.12,True,,47200.0,56400.0,0
Salisbury University,MD,Public,70.17,101820.0,7023.0,25057.0,68.60000000000001,77.62,77.78,True,,40000.0,54200.0,0
St. Mary's College of Maryland,MD,Public,72.34,95064.0,1467.0,30610.0,71.69,79.03,82.5,True,1190.0,38600.0,55200.0,0
St. John's College,MD,Private NonProfit,75.94999999999999,70248.0,383.0,50001.0,65.52,61.39,73.22999999999999,True,,31600.0,42000.0,0
Towson University,MD,Public,55.13,94368.0,18629.0,25697.0,73.1,78.8,84.58,True,1122.0,41900.0,55100.0,0
Stevenson University,MD,Private NonProfit,30.71,92820.0,3008.0,53066.0,61.83,89.18,79.62,True,,43800.0,54600.0,0
Washington College,MD,Private NonProfit,79.14,94920.0,1084.0,65405.0,71.5,80.28,78.77,True,,40700.0,56500.0,0
McDaniel College,MD,Private NonProfit,21.66,82800.0,1804.0,58638.0,62.5,81.13,74.61,True,,36400.0,54000.0,0
American International College,MA,Private NonProfit,9.5,89724.0,1355.0,51505.0,43.75,69.38,69.97,True,1015.0,41700.0,50000.0,0
Amherst College,MA,Private NonProfit,93.91,154128.0,1745.0,76750.0,94.67,11.83,91.49,True,1497.0,61600.0,83300.0,0
Anna Maria College,MA,Private NonProfit,22.46,77028.0,1126.0,52919.0,49.7,86.07000000000001,64.68,False,,38000.0,48100.0,0
Assumption University,MA,Private NonProfit,51.01,101196.0,2006.0,57238.0,73.2,80.92,83.13000000000001,True,,47100.0,61300.0,0
Babson College,MA,Private NonProfit,100.0,211680.0,2435.0,72378.0,94.65,26.97,92.0,False,1361.0,77000.0,113300.0,0
Boston Baptist College,MA,Private NonProfit,,49308.0,47.0,26691.0,50.0,77.78,62.5,False,1050.0,,37500.0,0
Bay Path University,MA,Private NonProfit,21.27,86760.0,1689.0,48102.0,59.69,78.31,69.6,True,1074.0,37000.0,44800.0,0
Bay State College,MA,Private ForProfit,16.16,102864.0,670.0,38507.0,18.35,34.14,69.23,True,,30600.0,34000.0,0
Bentley University,MA,Private NonProfit,66.9,177516.0,4059.0,71094.0,89.57000000000001,57.82000000000001,91.62,False,1281.0,67000.0,95400.0,0
Berklee College of Music,MA,Private NonProfit,38.99,121404.0,5951.0,66342.0,65.13,51.6,74.92,False,,25700.0,38300.0,0
Boston Architectural College,MA,Private NonProfit,10.64,75000.0,293.0,35044.0,33.33,,75.0,True,,40200.0,50900.0,0
Boston College,MA,Private NonProfit,66.31,187296.0,9681.0,75872.0,91.69,26.38,92.6,True,1433.0,64900.0,92500.0,0
Boston University,MA,Private NonProfit,72.55,175368.0,16359.0,74911.0,89.03,20.09,92.32,True,1419.0,52800.0,75900.0,0
Brandeis University,MA,Private NonProfit,71.39999999999999,159588.0,3481.0,76044.0,89.23,33.4,89.69,True,1424.0,47000.0,69000.0,0
Bridgewater State University,MA,Public,100.0,118224.0,8760.0,23845.0,59.03,82.31,76.32,True,1049.0,37500.0,47900.0,0
Cambridge College,MA,Private NonProfit,100.0,91320.0,1071.0,,20.0,,0.0,True,,36400.0,40000.0,0
Clark University,MA,Private NonProfit,99.56,135684.0,2205.0,58153.0,74.91,47.13,86.61999999999999,True,1271.0,38300.0,54700.0,0
Curry College,MA,Private NonProfit,37.580000000000005,123528.0,2164.0,57260.0,54.94,92.71,65.22,True,1055.0,44800.0,51100.0,0
Dean College,MA,Private NonProfit,17.88,82008.0,1166.0,59018.0,51.580000000000005,70.52000000000001,71.03,True,,28700.0,38100.0,0
Eastern Nazarene College,MA,Private NonProfit,33.08,69648.0,541.0,41194.0,38.1,64.38000000000001,65.64999999999999,False,1030.0,39100.0,46100.0,0
Emerson College,MA,Private NonProfit,37.12,122064.0,3702.0,72119.0,78.53,41.05,80.32000000000001,True,1302.0,38700.0,51200.0,0
Emmanuel College,MA,Private NonProfit,54.97,99924.0,1785.0,58787.0,61.63999999999999,75.52,73.88,True,1202.0,39500.0,54400.0,0
Endicott College,MA,Private NonProfit,25.74,127896.0,3003.0,52642.0,78.51,70.39999999999999,83.22,True,,45100.0,56200.0,0
Fisher College,MA,Private NonProfit,17.84,71676.0,1179.0,48411.0,34.92,77.72,63.06,True,938.0,32400.0,39600.0,0
Fitchburg State University,MA,Public,53.45,113616.0,3582.0,22881.0,57.92,87.99,76.6,True,,37700.0,47400.0,0
Framingham State University,MA,Public,64.78,112896.0,3384.0,25810.0,60.650000000000006,78.53,69.13,True,1044.0,38100.0,49000.0,0
Gordon College,MA,Private NonProfit,77.48,87264.0,1428.0,51869.0,72.22,68.27,84.42,True,1159.0,36300.0,47700.0,0
Hampshire College,MA,Private NonProfit,82.76,98688.0,517.0,67079.0,66.05,58.81999999999999,73.68,True,,24900.0,39900.0,0
Harvard University,MA,Private NonProfit,86.96000000000001,253716.0,6099.0,75914.0,97.63,5.01,75.67,True,1520.0,91300.0,139100.0,1
College of the Holy Cross,MA,Private NonProfit,89.42999999999999,139176.0,2962.0,71448.0,92.76,37.940000000000005,88.78,True,1371.0,55500.0,88600.0,0
Lasell University,MA,Private NonProfit,37.44,99888.0,1481.0,54730.0,62.48,84.54,80.78999999999999,True,1083.0,36400.0,45700.0,0
Lesley University,MA,Private NonProfit,22.48,102600.0,1814.0,47620.0,60.07,83.81,67.30000000000001,True,,33400.0,40500.0,0
University of Massachusetts-Lowell,MA,Public,63.98,146712.0,13364.0,29174.0,68.73,75.2,83.96000000000001,False,1232.0,45700.0,57200.0,0
University of Massachusetts-Amherst,MA,Public,80.9,152484.0,23884.0,31749.0,83.28999999999999,65.32,89.13,True,1307.0,44200.0,57700.0,0
University of Massachusetts-Boston,MA,Public,63.1,135888.0,12213.0,28910.0,49.44,79.67999999999999,75.99000000000001,True,,42600.0,53700.0,0
MCPHS University,MA,Private NonProfit,35.02,122988.0,3950.0,54955.0,70.30999999999999,91.12,81.69,True,1096.0,82200.0,106500.0,0
Massachusetts College of Art and Design,MA,Public,99.17,120696.0,1697.0,29569.0,74.09,70.27,73.02,True,,31200.0,40700.0,0
Massachusetts Institute of Technology,MA,Private NonProfit,98.86,235680.0,4360.0,73160.0,95.58,7.26,97.64,False,1550.0,99600.0,153600.0,1
Massachusetts Maritime Academy,MA,Public,65.22,103584.0,1537.0,28602.0,84.69,92.48,87.1,False,1117.0,75200.0,96000.0,0
Merrimack College,MA,Private NonProfit,50.35,103188.0,4058.0,59617.0,73.54,81.64,83.53,True,,47000.0,62200.0,0
Montserrat College of Art,MA,Private NonProfit,22.08,79452.0,354.0,52124.0,64.36,,78.64,True,,25000.0,28800.0,0
Mount Holyoke College,MA,Private NonProfit,91.77,130380.0,1912.0,69578.0,84.15,52.470000000000006,81.25,True,1367.0,36800.0,53900.0,0
The New England Conservatory of Music,MA,Private NonProfit,28.44,73608.0,386.0,70360.0,70.67,36.27,82.05,False,,34000.0,41200.0,0
Nichols College,MA,Private NonProfit,35.370000000000005,90288.0,1250.0,52520.0,54.66,80.36999999999999,71.85000000000001,False,,40300.0,53500.0,0
Massachusetts College of Liberal Arts,MA,Public,65.47,108312.0,1036.0,24458.0,52.99,87.68,71.58,True,1066.0,30100.0,38300.0,0
Northeastern University,MA,Private NonProfit,74.88,160488.0,15130.0,73196.0,89.83,20.48,96.79,True,1492.0,57800.0,74200.0,0
College of Our Lady of the Elms,MA,Private NonProfit,36.16,86424.0,1020.0,50266.0,64.17,69.78,79.21000000000001,True,1087.0,45500.0,49600.0,0
Regis College,MA,Private NonProfit,34.07,92520.0,1236.0,61605.0,64.11,84.08,80.19,True,,40500.0,56800.0,0
Salem State University,MA,Public,99.02,112980.0,5293.0,26423.0,59.36,86.75,73.52,True,,39300.0,47100.0,0
Simmons University,MA,Private NonProfit,26.53,96660.0,1731.0,60221.0,79.21000000000001,82.55,84.3,True,1168.0,49700.0,58400.0,0
Smith College,MA,Private NonProfit,84.64,144744.0,2183.0,75169.0,86.53,36.52,77.09,True,,37400.0,51100.0,0
