School Name,Mean Earnings (10 Yrs after Entry)
Saint Augustine's University,30000.0
Augsburg University,53200.0
University of Minnesota-Duluth,56300.0
Inter American University of Puerto Rico-Guayama,23500.0
Georgetown University,125200.0
Lincoln Memorial University,41600.0
San Diego Christian College,42500.0
College of the Ozarks,35300.0
Minnesota State University-Mankato,48400.0
Edward Waters University,28700.0
Saint Joseph's University,65900.0
Jacksonville State University,38100.0
Roberts Wesleyan College,45700.0
Pratt Institute-Main,48900.0
Great Lakes Christian College,30000.0
Franciscan University of Steubenville,42700.0
Northern Michigan University,39800.0
Amherst College,83300.0
Western Michigan University,50500.0
Universidad del Sagrado Corazon,23400.0
Boricua College,35000.0
Lafayette College,80500.0
Indiana University-Northwest,40400.0
Washburn University,43500.0
University of Sioux Falls,44800.0
Mount Vernon Nazarene University,50000.0
University of Hawaii-West Oahu,41100.0
Lake Superior State University,42000.0
University of Houston-Downtown,49300.0
Southern Adventist University,46300.0
Elizabethtown College,55000.0
University of Missouri-Kansas City,57200.0
University of Hartford,51700.0
Adelphi University,63000.0
Canisius College,51100.0
Denison University,57600.0
Allen University,26400.0
Midwestern State University,47000.0
Austin College,52800.0
Strayer University-Mississippi,53500.0
Florida Southern College,44400.0
Indiana University-Bloomington,57800.0
Ouachita Baptist University,46000.0
Tarleton State University,47700.0
St. John's College,42000.0
Allegheny College,56800.0
University of Maine at Machias,29400.0
Blue Mountain College,29200.0
Jarvis Christian University,27500.0
Howard University,54500.0
Wright State University-Main Campus,46100.0
La Sierra University,54600.0
Lasell University,45700.0
Maryville College,44000.0
University of New Mexico-Main Campus,43900.0
Queens University of Charlotte,49400.0
Inter American University of Puerto Rico-Aguadilla,23500.0
Loyola University Chicago,63500.0
Bennington College,38400.0
Concordia University-Wisconsin,47300.0
Augusta University,70600.0
University of South Dakota,49500.0
Geneva College,43300.0
Cameron University,38200.0
Northern Illinois University,49800.0
Ursuline College,50400.0
College of Saint Mary,43000.0
Universidad Pentecostal Mizpa,22800.0
San Diego State University,55900.0
Trinity Washington University,43100.0
Lubbock Christian University,50500.0
Conservatory of Music of Puerto Rico,22100.0
Monmouth College,46500.0
South University-West Palm Beach,40200.0
Thomas University,37400.0
Cheyney University of Pennsylvania,31600.0
California Lutheran University,60200.0
Wilkes University,58600.0
Lynn University,46500.0
Hawaii Pacific University,56400.0
Lewis University,53600.0
SUNY College at Old Westbury,47500.0
Saint Mary's University of Minnesota,50400.0
Coppin State University,41800.0
Design Institute of San Diego,42300.0
Stetson University,51800.0
Union Institute & University,55000.0
North Central College,52300.0
Howard Payne University,40500.0
Alabama A & M University,35500.0
American InterContinental University,45200.0
University of Bridgeport,47100.0
Rosemont College,46700.0
Kent State University at Kent,42400.0
Delta State University,37600.0
DigiPen Institute of Technology,82400.0
Strayer University-Global Region,53500.0
Missouri Baptist University,39200.0
