School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Strayer University-South Carolina,11.65,82632.0,2459.0,28284.0,50.0,84.44761912727529,100.0,1043.0456504209067,0.0,1.0,0.0,0.0
Oakland University,53.24,115308.0,14837.0,23778.0,56.45,81.10000000000001,78.60000000000001,1110.0,0.0,0.0,0.0,1.0
DeSales University,36.24,97668.0,2352.0,54300.0,64.78,81.77,81.42,1139.0,0.0,0.0,1.0,0.0
University of Wisconsin-Platteville,81.87,86784.0,6757.0,18670.0,56.18,81.47999999999999,77.45,1150.0,0.0,0.0,0.0,1.0
Marymount California University,69.23,103776.0,515.0,51791.0,31.730000000000004,71.36209492702997,64.91,1117.5344953872925,0.0,0.0,1.0,0.0
Hamline University,42.41,96168.0,1907.0,51984.0,65.12,68.95,73.58,1147.0,0.0,0.0,1.0,0.0
Multnomah University,26.44,63336.0,333.0,42743.0,50.0,58.9,63.93,1062.5886680346473,0.0,0.0,1.0,0.0
Valdosta State University,71.91,87480.0,9367.0,20998.0,40.32,78.45,72.7,1072.0,0.0,0.0,0.0,1.0
Mount Saint Joseph University,95.37,86532.0,1120.0,39248.0,55.33,60.150000000000006,73.61,1108.0,0.0,0.0,1.0,0.0
Rollins College,100.0,114156.0,2536.0,66805.0,80.74,60.81,87.41,1341.8511253955323,0.0,0.0,1.0,0.0
Southeastern Oklahoma State University,100.0,79956.0,3078.0,16367.0,31.480000000000004,78.59,60.760000000000005,1040.0,0.0,0.0,0.0,1.0
Mount Carmel College of Nursing,46.96,90504.0,705.0,21615.0,79.75,80.82000000000001,70.27,1050.0,0.0,0.0,1.0,0.0
New York Institute of Technology,32.87,146448.0,3414.0,49465.0,50.0,74.68,76.35,1190.0,0.0,0.0,1.0,0.0
Binghamton University,72.63,120420.0,14300.0,28010.0,81.72,43.03,92.02,1376.0,0.0,0.0,0.0,1.0
Hebrew Theological College,42.11,35172.0,103.0,28145.0,6.859999999999999,83.33,86.21,962.6966682220225,0.0,0.0,1.0,0.0
Wilberforce University,40.82,58464.0,439.0,23450.0,39.39,61.57,34.92,862.0,0.0,0.0,1.0,0.0
Strayer University-New Jersey,11.76,82632.0,903.0,28284.0,100.0,87.03105428271354,33.33,1033.578741428757,0.0,1.0,0.0,0.0
University of Illinois Springfield,66.14999999999999,98892.0,2580.0,24309.0,55.15,77.33,73.98,1107.0,0.0,0.0,0.0,1.0
Mercy College of Health Sciences,46.56,71220.0,854.0,29813.0,51.22,91.67,62.16,1105.0,0.0,0.0,1.0,0.0
Rutgers University-New Brunswick,60.18,147924.0,35428.0,32022.0,84.45,66.93,93.23,1301.0,0.0,0.0,0.0,1.0
Pennsylvania Academy of the Fine Arts,38.78,80280.0,135.0,62147.0,61.9,87.79,36.67,1127.7918435568436,0.0,0.0,1.0,0.0
Loyola Marymount University,63.470000000000006,141552.0,6564.0,70235.0,82.62,50.13999999999999,83.22,1320.0,0.0,0.0,1.0,0.0
Colorado Technical University-Colorado Springs,47.02219032457066,85224.0,24504.0,23174.0,23.08,78.7862997690186,47.84,1115.8512718747259,0.0,1.0,0.0,0.0
Dickinson State University,49.62,83220.0,1171.0,17708.0,36.26,98.62,63.21,1031.0,0.0,0.0,0.0,1.0
