School Name,Mean Earnings (6 Yrs after Entry)
Bard College,31000.0
Bethel College-North Newton,36600.0
Ohio Christian University,32600.0
Gallaudet University,25400.0
West Coast University-Miami,71900.0
Alma College,36500.0
Indiana University-Bloomington,44200.0
Tusculum University,34400.0
Texas A & M University-Commerce,36000.0
CUNY City College,36800.0
Whitworth University,37200.0
Washburn University,36100.0
University of South Carolina Beaufort,33800.0
Georgetown College,32500.0
Virginia Commonwealth University,37500.0
Grambling State University,26200.0
University of Indianapolis,38300.0
American University of Puerto Rico,17700.0
San Francisco Art Institute,28400.0
Hiram College,36300.0
Roger Williams University,44100.0
Trinity University,48900.0
College of the Holy Cross,55500.0
Cornell University,76300.0
Evangel University,32800.0
Radford University,37700.0
SUNY Buffalo State,33700.0
Gannon University,43800.0
Xavier University of Louisiana,46700.0
Centenary College of Louisiana,32900.0
Rogers State University,33100.0
Arlington Baptist University,26500.0
Lancaster Bible College,31300.0
Berkeley College-New York,33700.0
York College,29400.0
University of Charleston,39100.0
Notre Dame de Namur University,49000.0
University of Richmond,51900.0
Dickinson College,45300.0
Winthrop University,31300.0
Moore College of Art and Design,29000.0
Benedict College,21300.0
Wentworth Institute of Technology,54200.0
University of Puget Sound,40200.0
University of St Thomas,48600.0
Denison University,41600.0
Hendrix College,35100.0
Augustana College,41100.0
Doane University,38300.0
Wiley College,26400.0
Albright College,39900.0
Gordon College,36300.0
Lubbock Christian University,38700.0
Louisiana State University Health Sciences Center-New Orleans,65600.0
Bacone College,29400.0
Nyack College,38500.0
Cleveland State University,37200.0
University of Minnesota-Duluth,40900.0
Cardinal Stritch University,46400.0
Harris-Stowe State University,23800.0
Columbus College of Art and Design,30300.0
Columbia College Chicago,29500.0
Bellevue University,52200.0
Briar Cliff University,37000.0
Thomas Edison State University,50900.0
University of Toledo,37900.0
New Jersey Institute of Technology,54800.0
Iona College,45900.0
CUNY Hunter College,39300.0
Post University,40000.0
Georgia Institute of Technology-Main Campus,66100.0
California State University-Stanislaus,39300.0
Rhode Island School of Design,42600.0
Allen College,53000.0
William Peace University,32200.0
Shaw University,25100.0
Lincoln University,26900.0
Southern Virginia University,29900.0
Southern New Hampshire University,43300.0
South University-Virginia Beach,32500.0
University of Massachusetts Global,48300.0
Excelsior College,60200.0
Friends University,42300.0
Pfeiffer University,35700.0
Dominican College of Blauvelt,44200.0
Howard Payne University,34000.0
Saint Xavier University,41400.0
Hardin-Simmons University,40200.0
University of California-Merced,42500.0
AdventHealth University,53500.0
The Master's University and Seminary,38600.0
Johns Hopkins University,68000.0
South University-Savannah,32500.0
University of Mary,46700.0
Connecticut College,44400.0
Western Governors University,48100.0
Alcorn State University,26900.0
University of Lynchburg,35500.0
Full Sail University,34200.0
Florida Agricultural and Mechanical University,31800.0
Northwestern University,71900.0
George Fox University,42200.0
Inter American University of Puerto Rico-Fajardo,19300.0
Michigan Technological University,54000.0
Baptist University of the Americas,25200.0
University of Phoenix-Nevada,34200.0
University of Jamestown,39600.0
Francis Marion University,32100.0
Rasmussen University-Florida,29900.0
Stephens College,33600.0
John Carroll University,40500.0
William Woods University,33100.0
Kettering College,47500.0
Western Michigan University,35300.0
University of Science and Arts of Oklahoma,30400.0
Inter American University of Puerto Rico-Ponce,19300.0
William Carey University,34000.0
Franciscan University of Steubenville,34800.0
North Dakota State University-Main Campus,45200.0
Brigham Young University-Idaho,35600.0
Pratt Institute-Main,40200.0
Huntington University,32600.0
East-West University,22500.0
Mount Vernon Nazarene University,39300.0
Central State University,23000.0
