School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Blackburn College,67.92,77784.0,484.0,32584.0,45.18,55.17999999999999,69.37,1006.0,0.0,0.0,1.0,0.0
Nyack College,35.08,84612.0,1171.0,38589.0,42.92,97.32,57.830000000000005,965.0,0.0,0.0,1.0,0.0
Albany College of Pharmacy and Health Sciences,76.14999999999999,112044.0,683.0,50326.0,74.65,75.19,85.41,1238.0,0.0,0.0,1.0,0.0
Thomas Jefferson University,38.65,112164.0,3740.0,60290.0,69.65,69.84,83.66,1179.0,0.0,0.0,1.0,0.0
Keystone College,23.200000000000003,75168.0,1178.0,39200.0,44.63,78.74,67.47999999999999,991.0,0.0,0.0,1.0,0.0
Oklahoma Panhandle State University,55.06,56532.0,1245.0,15443.0,26.72,67.51489109851468,44.5,956.3396390620858,0.0,0.0,0.0,1.0
Minnesota State University Moorhead,65.45,112476.0,4207.0,22525.0,54.86,66.05,70.47,1106.0,0.0,0.0,0.0,1.0
Benedictine College,54.81,80484.0,1980.0,46309.0,65.02,96.78,83.59,1213.0,0.0,0.0,1.0,0.0
University of South Florida,71.99,125580.0,37002.0,21134.0,73.66,49.24,91.81,1256.0,0.0,0.0,0.0,1.0
Eagle Gate College-Murray,32.0,72624.0,241.0,22097.0,41.94,70.00749178718235,73.68,971.732666651597,0.0,1.0,0.0,0.0
Hiram College,100.0,75672.0,891.0,50555.0,49.64,92.77,74.89,1037.0,0.0,0.0,1.0,0.0
The University of Tennessee-Martin,67.17999999999999,90456.0,5151.0,21200.0,53.67,64.95,73.77,1170.0,0.0,0.0,0.0,1.0
DeSales University,36.24,97668.0,2352.0,54300.0,64.78,81.77,81.42,1139.0,0.0,0.0,1.0,0.0
Cornell College,100.0,90384.0,996.0,58201.0,67.43,82.41000000000001,74.07000000000001,1224.0,0.0,0.0,1.0,0.0
University of North Carolina Wilmington,72.3,103296.0,14326.0,24837.0,73.52,67.97,84.08,1226.0,0.0,0.0,0.0,1.0
Upstate Medical University,72.38,82644.0,205.0,32282.029406303238,70.15971886584974,65.2954620746427,71.69103286132695,1094.4698776955888,0.0,0.0,0.0,1.0
The College of Westchester,28.57,73416.0,829.0,29294.0,51.11,88.37,72.46000000000001,1022.1997216218007,0.0,1.0,0.0,0.0
Lindenwood University,100.0,100764.0,4780.0,30609.0,46.75,92.13,74.87,1111.0,0.0,0.0,1.0,0.0
Lander University,53.05,78036.0,3279.0,24474.0,48.82,57.03,74.66000000000001,1015.0,0.0,0.0,0.0,1.0
Bucknell University,96.0,139272.0,3684.0,75400.0,87.85,37.53,92.2,1353.0,0.0,0.0,1.0,0.0
Polytechnic University of Puerto Rico-Miami,58.81286957657419,44832.0,80.0,29670.0,100.0,56.01522828638774,100.0,993.6941462684282,0.0,0.0,1.0,0.0
University of Central Arkansas,78.22,85992.0,8237.0,23185.0,45.73,93.78,78.84,1166.0,0.0,0.0,0.0,1.0
Indiana University of Pennsylvania-Main Campus,88.78,123408.0,7702.0,28442.0,54.2,93.1,72.11999999999999,1036.0,0.0,0.0,0.0,1.0
University of Cincinnati-Main Campus,59.56,123708.0,27425.0,26892.0,72.81,76.4,88.2,1245.0,0.0,0.0,0.0,1.0
Art Center College of Design,26.61,96108.0,1907.0,66046.0,71.43,76.09,77.99000000000001,1162.637321603257,0.0,0.0,1.0,0.0
Marietta College,100.0,90204.0,1121.0,49601.0,52.66,73.91,77.3,1120.0,0.0,0.0,1.0,0.0
Montana Technological University,75.0,95808.0,1418.0,21124.0,57.49,97.27,80.15,1192.0,0.0,0.0,0.0,1.0
Louisiana College,63.96,68952.0,868.0,27669.0,33.62,71.16,61.18,1082.0,0.0,0.0,1.0,0.0
Kansas Wesleyan University,100.0,70392.0,743.0,44254.0,47.18,61.79,63.83,1035.4007890220148,0.0,0.0,1.0,0.0
Chamberlain University-Virginia,11.11,97488.0,622.0,45574.29257621001,50.0,63.63999999999999,100.0,1129.4621347054579,0.0,1.0,0.0,0.0
Ottawa University-Ottawa,100.0,75900.0,719.0,47369.0,36.69,70.3,59.89,1012.0,0.0,0.0,1.0,0.0
Northwestern College,100.0,81276.0,1040.0,45760.0,68.57,73.77,78.97,1146.0,0.0,0.0,1.0,0.0
Voorhees College,59.260000000000005,60156.0,368.0,26306.0,41.18,67.13123854249451,54.6,1003.5375575873318,0.0,0.0,1.0,0.0
Drake University,67.21000000000001,107316.0,2814.0,57643.0,77.79,67.92,86.14,1254.0,0.0,0.0,1.0,0.0
Emerson College,37.12,122064.0,3702.0,72119.0,78.53,41.05,80.32000000000001,1302.0,0.0,0.0,1.0,0.0
Indiana State University,75.19,89748.0,8897.0,22718.0,41.23,92.29,68.72,1107.1354610696178,0.0,0.0,0.0,1.0
University of Houston-Clear Lake,98.24,110544.0,6559.0,25567.0,51.98,80.73,76.98,1090.0,0.0,0.0,0.0,1.0
California State University-Fullerton,50.470000000000006,123972.0,36874.0,17791.0,68.67999999999999,67.62,88.94,1085.0,0.0,0.0,0.0,1.0
Northwestern Oklahoma State University,61.63999999999999,79044.0,1488.0,17928.0,25.81,70.26,61.7,1021.0,0.0,0.0,0.0,1.0
Whitworth University,95.83,88044.0,2359.0,60359.0,77.03999999999999,91.01,80.88,1171.0,0.0,0.0,1.0,0.0
University of Washington-Bothell Campus,66.46,136248.0,5618.0,23189.0,62.88,87.92999999999999,88.66000000000001,1158.0,0.0,0.0,0.0,1.0
Carson-Newman University,50.42,68316.0,1635.0,40422.0,52.05,79.32000000000001,68.88,1107.0,0.0,0.0,1.0,0.0
Indiana Institute of Technology,100.0,95880.0,1499.0,40161.0,37.74,63.07000000000001,69.98,1098.0290386053152,0.0,0.0,1.0,0.0
Louisiana State University-Alexandria,56.44,72144.0,3208.0,14207.0,31.22,63.54,59.93000000000001,1042.0,0.0,0.0,0.0,1.0
Granite State College,11.25,65004.0,1497.0,18834.0,14.67,68.60184864807012,42.86,951.4054461613697,0.0,0.0,0.0,1.0
Southeastern Oklahoma State University,100.0,79956.0,3078.0,16367.0,31.480000000000004,78.59,60.760000000000005,1040.0,0.0,0.0,0.0,1.0
West Virginia Wesleyan College,58.41,71592.0,977.0,46187.0,55.17999999999999,65.72,71.78,1020.0,0.0,0.0,1.0,0.0
Strayer University-Texas,11.67,88536.0,3089.0,28284.0,0.0,78.52200062135992,33.33,1078.997401041714,0.0,1.0,0.0,0.0
Siena Heights University,97.8,75420.0,1734.0,39539.0,53.010000000000005,74.42999999999999,74.22999999999999,1024.6449114353068,0.0,0.0,1.0,0.0
University of Washington-Seattle Campus,81.08999999999999,161292.0,31145.0,26825.0,82.0,55.86,93.09,1341.0,0.0,0.0,0.0,1.0
Campbellsville University,39.4,72180.0,2723.0,38502.0,36.1,77.64,64.45,1069.8244960644263,0.0,0.0,1.0,0.0
Sierra Nevada University,24.44,55860.0,272.0,50040.0,43.59,46.31,60.71,1036.0,0.0,0.0,1.0,0.0
Missouri Valley College,68.75,55116.0,1327.0,35425.0,22.93,62.18,52.190000000000005,956.0,0.0,0.0,1.0,0.0
Mills College,48.19,121320.0,603.0,48360.0,65.24,91.14,62.3,1180.0,0.0,0.0,1.0,0.0
Saint Vincent College,99.09,92676.0,1432.0,50140.0,73.5,72.11999999999999,83.24000000000001,1090.0,0.0,0.0,1.0,0.0
Mount Marty University,44.55,82740.0,656.0,41044.0,52.68000000000001,78.43,75.64999999999999,1035.0,0.0,0.0,1.0,0.0
Mid-Atlantic Christian University,82.35,59748.0,150.0,30542.0,38.3,43.120000000000005,47.92,1004.0,0.0,0.0,1.0,0.0
Hanover College,93.58,94740.0,1025.0,52998.0,71.67,69.32000000000001,84.43,1195.0,0.0,0.0,1.0,0.0
Barnes-Jewish College Goldfarb School of Nursing,52.580000000000005,95052.0,529.0,40514.50110172374,56.76719987835658,73.45615512903433,72.12835283886348,1140.2985776248522,0.0,0.0,1.0,0.0
The University of Texas Medical Branch at Galveston,98.5,107232.0,708.0,41160.1504278116,73.3804145639424,72.61074476170191,73.9882301105177,1157.98182920288,0.0,0.0,0.0,1.0
Ashland University,33.660000000000004,83508.0,2462.0,33775.0,62.09,74.35000000000001,76.79,1105.0,0.0,0.0,1.0,0.0
College of Charleston,65.86,105924.0,9100.0,29545.0,65.68,74.32,79.86,1175.0,0.0,0.0,0.0,1.0
Temple University,55.69,139944.0,26969.0,33226.0,74.79,71.41999999999999,87.17,1222.305085743874,0.0,0.0,0.0,1.0
Kutztown University of Pennsylvania,84.46000000000001,117060.0,6735.0,28414.0,52.11,93.19,77.37,1038.0,0.0,0.0,0.0,1.0
Union College,87.1,134964.0,2035.0,69879.0,85.79,41.260000000000005,88.0,1339.0,0.0,0.0,1.0,0.0
Cazenovia College,100.0,87636.0,747.0,51761.0,57.74,72.18,65.14,1003.0,0.0,0.0,1.0,0.0
Alcorn State University,68.55,78048.0,2648.0,24285.0,45.440000000000005,37.72,73.83,1035.0,0.0,0.0,0.0,1.0
Washington State University,78.10000000000001,123384.0,25084.0,26068.0,58.55,79.95,80.56,1123.0,0.0,0.0,0.0,1.0
Tougaloo College,74.07000000000001,57060.0,654.0,22784.0,40.48,71.2,70.39999999999999,990.0,0.0,0.0,1.0,0.0
California State University-Fresno,56.06,114540.0,22334.0,17683.0,57.54,90.11,86.79,996.0,0.0,0.0,0.0,1.0
Franklin and Marshall College,86.94,123000.0,2242.0,75720.0,85.25,36.5,84.05,1355.2875780168729,0.0,0.0,1.0,0.0
Arlington Baptist University,27.78,43164.0,158.0,25381.0,20.59,55.46700270056872,57.89,972.2568374872477,0.0,0.0,1.0,0.0
SUNY College of Technology at Canton,64.74,81864.0,3033.0,23026.0,40.91,83.00999999999999,70.26,1029.0,0.0,0.0,0.0,1.0
Southwestern Oklahoma State University,100.0,87264.0,3834.0,21147.0,40.400000000000006,93.2,74.33,1065.0,0.0,0.0,0.0,1.0
Norwich University,45.21,90900.0,3182.0,59627.0,56.67,74.17,81.58,1171.7404056320156,0.0,0.0,1.0,0.0
University of Arkansas at Pine Bluff,80.62,70620.0,2440.0,19541.0,38.92,59.66,74.17,900.0,0.0,0.0,0.0,1.0
Strayer University-Arkansas,11.76,154932.0,407.0,44276.49405701874,100.0,45.73005135451693,63.318454927850404,1347.1634702333647,0.0,1.0,0.0,0.0
Colby College,95.25,138948.0,2155.0,73600.0,90.42,10.27,90.64,1456.0,0.0,0.0,1.0,0.0
University of Maine,70.32000000000001,123072.0,8870.0,24581.0,56.46,92.21,77.99000000000001,1093.035456510283,0.0,0.0,0.0,1.0
Manchester University,90.6,95736.0,1082.0,45489.0,55.67999999999999,70.38,71.3,1139.2277653571691,0.0,0.0,1.0,0.0
Columbia Central University-Caguas,35.480000000000004,30756.0,682.0,10986.0,48.84,76.61009153930226,35.709999999999994,980.2453632440639,0.0,1.0,0.0,0.0
University of Florida,88.03,142800.0,34237.0,21151.0,88.64,31.130000000000003,97.34,1390.0,0.0,0.0,0.0,1.0
Samford University,98.73,108084.0,3573.0,49634.0,77.2,83.99,87.11,1219.0,0.0,0.0,1.0,0.0
Linfield University-School of Nursing,95.83,94980.0,340.0,39078.46952189088,63.29494337514127,69.20331842194517,68.93638487183209,1134.1343039942328,0.0,0.0,1.0,0.0
Grambling State University,98.47,71916.0,4511.0,24332.0,42.11,93.22,77.08,942.0,0.0,0.0,0.0,1.0
Vanderbilt University,80.76,174456.0,7052.0,73148.0,92.75,11.62,96.13,1520.0,0.0,0.0,1.0,0.0
University of Denver,50.73,134664.0,5683.0,69469.0,75.46000000000001,60.67,84.14,1296.0,0.0,0.0,1.0,0.0
Augustana College,77.44,85704.0,2374.0,55924.0,76.58,57.35,84.50999999999999,1148.8931199105955,0.0,0.0,1.0,0.0
Colorado State University-Fort Collins,72.43,125100.0,23332.0,27513.0,70.21,83.52000000000001,84.99,1199.0,0.0,0.0,0.0,1.0
Montserrat College of Art,22.08,79452.0,354.0,52124.0,64.36,82.51473426015622,78.64,1052.2248354182157,0.0,0.0,1.0,0.0
New Jersey Institute of Technology,57.18,149964.0,8311.0,31511.0,70.0,66.03,89.03,1299.0,0.0,0.0,0.0,1.0
Carthage College,53.33,100236.0,2620.0,59175.0,62.36000000000001,76.63,79.47,1148.0,0.0,0.0,1.0,0.0
Escuela de Artes Plasticas y Diseno de Puerto Rico,35.0,28896.0,405.0,7676.0,15.38,88.64,77.36,980.1321294031666,0.0,0.0,0.0,1.0
MidAmerica Nazarene University,100.0,78828.0,1099.0,48863.0,48.35,63.75999999999999,60.31999999999999,1085.899931696177,0.0,0.0,1.0,0.0
Columbus College of Art and Design,35.29,66060.0,981.0,49217.0,61.22,91.69,72.28,1060.5066809139971,0.0,0.0,1.0,0.0
Caribbean University-Ponce,30.36,27528.0,392.0,9341.0,43.4,79.67359222361745,82.76,980.2092390509573,0.0,0.0,1.0,0.0
Missouri University of Science and Technology,85.13,131976.0,6050.0,23123.0,66.75,81.46,84.89999999999999,1328.0,0.0,0.0,0.0,1.0
Nossi College of Art,7.32,93336.0,289.0,26226.0,71.15,48.8,87.03999999999999,1079.1661334919165,0.0,1.0,0.0,0.0
Wells College,62.0,80220.0,356.0,46640.0,55.83,64.36,52.27,1109.273491937225,0.0,0.0,1.0,0.0
Research College of Nursing,97.3,90972.0,269.0,39312.263377840216,67.5795737644792,66.12439114657936,58.01991827616995,1148.9883262411774,0.0,1.0,0.0,0.0
California State University-Channel Islands,52.470000000000006,123336.0,6938.0,25150.0,55.44,79.43,83.14,1048.692933655026,0.0,0.0,0.0,1.0
Beloit College,82.41000000000001,84420.0,924.0,63398.0,77.59,58.34,90.35,1148.8298707832134,0.0,0.0,1.0,0.0
DePaul University,48.77,140232.0,14009.0,57122.0,71.24000000000001,70.24000000000001,82.91,1212.886227953598,0.0,0.0,1.0,0.0
Brewton-Parker College,100.0,61656.0,556.0,31902.0,15.45,98.14,46.35,1030.3668610923846,0.0,0.0,1.0,0.0
Greenville University,100.0,68664.0,793.0,40959.0,49.63,59.21,67.25999999999999,1014.0,0.0,0.0,1.0,0.0
Brigham Young University-Idaho,51.216500168881566,99192.0,43660.0,12381.0,55.93,97.01,73.72,1132.0,0.0,0.0,1.0,0.0
University of South Carolina Beaufort,60.61,88764.0,1898.0,24235.0,34.48,66.94,62.63999999999999,1029.0,0.0,0.0,0.0,1.0
Unity College,28.48,66096.0,1188.0,42474.0,46.52,99.77,41.620000000000005,1057.650223467502,0.0,0.0,1.0,0.0
